SampleId	GenomePloidy	NumSegments	SegmentMAD
P33410_1001	2	46	0.762543818766489
P33410_1002	2	42	0.931122126666594
P33410_1003	2	45	1.08937817041806
P33410_1004	2	41	0.803996626113255
P33410_1005	2	44	0.871010730501814
P33410_1006	2	47	1.09650385527887
P33410_1007	2	1	0.224889388440964
P33410_1008	2	38	0.84196645103615
P33410_1009	2	33	0.646930732107486
P33410_1010	2	56	1.03425583199101
P33410_1011	2	48	1.21718605758819
P33410_1012	2	36	0.382033149683209
P33410_1013	2	39	0.298692049783055
P33410_1014	2	36	0.401737374006897
P33410_1015	2	33	0.285380125265476
P33410_1016	2	53	0.559820471210924
P33410_1017	2	35	0.266895885181838
P33410_1018	2	32	0.350977998602297
P33410_1019	2	137	2.80824645770036
P33410_1020	2	79	1.3195319192587
P33410_1021	2	41	0.268361261716028
P33410_1022	2	31	0.413551712613018
P33410_1023	2	1	0.218198650131778
P33410_1024	2	33	0.430856346029935
