sample	all_reads	chimeric_reads
P33410_1001	73461832	423030
P33410_1002	73788035	393670
P33410_1003	73804320	399565
P33410_1004	73422111	380224
P33410_1005	73772827	382804
P33410_1006	73520816	353873
P33410_1008	73464590	410433
P33410_1009	73848303	418562
P33410_1010	73534974	439562
P33410_1011	73249354	369926
P33410_1012	73794516	402004
P33410_1013	73851385	255058
P33410_1014	73818414	224140
P33410_1015	73813835	250701
P33410_1016	73913836	261075
P33410_1017	73568258	233589
P33410_1018	73896955	197047
P33410_1019	73052776	232968
P33410_1020	74160332	243453
P33410_1021	73560435	243111
P33410_1022	73984768	205015
P33410_1024	74631732	188564
