Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103
P33410_1001	100.0	66.01700000000001	54.482	42.699	34.757	28.203	23.153000000000002	19.08	15.822	13.178	11.026	9.259	7.805	6.601999999999999	5.601	4.766	4.069	3.4819999999999998	2.988	2.5700000000000003	2.215	1.9140000000000001	1.657	1.438	1.25	1.089	0.951	0.831	0.728	0.639	0.562	0.49500000000000005	0.437	0.386	0.34199999999999997	0.303	0.268	0.23800000000000002	0.212	0.189	0.169	0.151	0.135	0.121	0.108	0.097	0.087	0.078	0.07100000000000001	0.064	0.056999999999999995	0.052	0.047	0.043	0.039	0.036000000000000004	0.032	0.03	0.027	0.025	0.023	0.021	0.02	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013	0.012	0.011000000000000001	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.008																											
P33410_1002	100.0	62.651999999999994	51.613	40.591	33.37	27.428	22.835	19.101000000000003	16.078	13.594000000000001	11.544	9.839	8.415000000000001	7.219	6.213	5.361	4.6370000000000005	4.021	3.495	3.044	2.657	2.324	2.037	1.788	1.572	1.385	1.222	1.079	0.954	0.845	0.75	0.666	0.592	0.527	0.47000000000000003	0.41900000000000004	0.375	0.336	0.3	0.269	0.242	0.217	0.19499999999999998	0.17600000000000002	0.158	0.14300000000000002	0.129	0.117	0.106	0.096	0.087	0.079	0.07200000000000001	0.066	0.06	0.055	0.05	0.046	0.042	0.039	0.036000000000000004	0.033	0.031	0.027999999999999997	0.026	0.024	0.023	0.021	0.02	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013	0.013	0.012	0.011000000000000001	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.008																				
P33410_1003	100.0	57.681000000000004	47.711	37.71	31.361	26.122	22.067	18.743000000000002	16.028000000000002	13.771	11.885	10.294	8.947	7.8	6.819999999999999	5.979	5.2540000000000004	4.628	4.085	3.6130000000000004	3.2009999999999996	2.842	2.528	2.251	2.008	1.794	1.6049999999999998	1.438	1.291	1.16	1.043	0.9400000000000001	0.848	0.766	0.6930000000000001	0.627	0.569	0.516	0.469	0.42700000000000005	0.38899999999999996	0.35400000000000004	0.32299999999999995	0.295	0.27	0.246	0.22499999999999998	0.20600000000000002	0.189	0.173	0.159	0.146	0.134	0.123	0.11299999999999999	0.104	0.096	0.089	0.082	0.075	0.06899999999999999	0.064	0.059000000000000004	0.055	0.051000000000000004	0.047	0.043	0.04	0.037	0.034999999999999996	0.032	0.03	0.027999999999999997	0.026	0.025	0.023	0.021	0.02	0.019	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013	0.012	0.012	0.011000000000000001	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.008										
P33410_1004	100.0	62.602000000000004	51.77	40.549	33.256	27.193	22.537	18.759	15.72	13.234000000000002	11.195	9.508	8.107000000000001	6.935	5.954000000000001	5.126	4.426	3.832	3.327	2.895	2.524	2.205	1.931	1.694	1.49	1.313	1.158	1.0250000000000001	0.9079999999999999	0.8049999999999999	0.716	0.637	0.5680000000000001	0.507	0.453	0.406	0.364	0.327	0.295	0.266	0.24	0.217	0.197	0.178	0.16199999999999998	0.147	0.134	0.122	0.11199999999999999	0.10200000000000001	0.093	0.08499999999999999	0.078	0.07200000000000001	0.066	0.061	0.055999999999999994	0.052	0.048	0.045	0.042	0.039	0.036000000000000004	0.034	0.031	0.029	0.027	0.026	0.024	0.023	0.021	0.02	0.019	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013	0.013	0.012	0.011000000000000001	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.009000000000000001	0.008															
P33410_1005	100.0	62.773	51.790000000000006	40.617999999999995	33.362	27.358	22.74	18.986	15.951	13.459	11.405	9.700000000000001	8.278	7.088	6.087	5.241	4.526	3.918	3.399	2.955	2.5749999999999997	2.248	1.967	1.725	1.5150000000000001	1.3339999999999999	1.175	1.038	0.918	0.812	0.721	0.64	0.569	0.506	0.451	0.40299999999999997	0.36	0.321	0.28800000000000003	0.258	0.231	0.208	0.186	0.168	0.151	0.136	0.123	0.11100000000000002	0.1	0.091	0.082	0.075	0.068	0.062	0.056999999999999995	0.052	0.047	0.043	0.04	0.036000000000000004	0.034	0.031	0.029	0.026	0.024	0.023	0.021	0.02	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013	0.012	0.012	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.008	0.008																					
P33410_1006	100.0	57.664	48.214	38.457	32.129999999999995	26.808	22.644000000000002	19.2	16.37	14.005	12.028	10.360999999999999	8.949	7.747999999999999	6.722	5.844	5.090999999999999	4.443	3.884	3.402	2.983	2.62	2.3040000000000003	2.029	1.789	1.5789999999999997	1.396	1.236	1.095	0.972	0.864	0.769	0.6839999999999999	0.611	0.545	0.48700000000000004	0.436	0.391	0.35100000000000003	0.315	0.28400000000000003	0.256	0.22999999999999998	0.208	0.188	0.16999999999999998	0.155	0.13999999999999999	0.128	0.116	0.106	0.096	0.08800000000000001	0.08	0.073	0.067	0.062	0.055999999999999994	0.052	0.048	0.044000000000000004	0.04	0.037	0.034999999999999996	0.032	0.03	0.027999999999999997	0.026	0.024	0.023	0.021	0.02	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013999999999999999	0.013	0.012	0.011000000000000001	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.008	0.008																
P33410_1008	100.0	64.824	53.657	42.093	34.414	28.023999999999997	23.095	19.101000000000003	15.887	13.264000000000001	11.119	9.354	7.893999999999999	6.680999999999999	5.6739999999999995	4.83	4.124	3.5290000000000004	3.0269999999999997	2.6020000000000003	2.242	1.936	1.675	1.452	1.261	1.097	0.9560000000000001	0.835	0.73	0.64	0.562	0.494	0.43499999999999994	0.384	0.33899999999999997	0.299	0.265	0.23500000000000001	0.209	0.185	0.165	0.147	0.131	0.117	0.105	0.094	0.084	0.076	0.068	0.061	0.055	0.05	0.045	0.041	0.037	0.034	0.031	0.027999999999999997	0.026	0.024	0.022000000000000002	0.02	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013	0.012	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.008																													
P33410_1009	100.0	71.702	59.58	46.73	37.601	29.953999999999997	24.029	19.28	15.528	12.533	10.147	8.24	6.711	5.483	4.494	3.695	3.047	2.519	2.089	1.737	1.4489999999999998	1.212	1.016	0.855	0.72	0.609	0.516	0.438	0.373	0.319	0.27299999999999996	0.234	0.201	0.174	0.15	0.13	0.11299999999999999	0.099	0.086	0.076	0.066	0.058	0.051000000000000004	0.045	0.04	0.036000000000000004	0.032	0.027999999999999997	0.025	0.023	0.02	0.018000000000000002	0.016	0.015	0.013	0.012	0.011000000000000001	0.01	0.009000000000000001	0.008																																												
P33410_1010	100.0	65.783	54.297	42.667	34.8	28.294000000000004	23.244	19.163	15.879999999999999	13.211999999999998	11.038	9.253	7.781000000000001	6.565	5.558	4.719	4.018999999999999	3.431	2.936	2.519	2.166	1.867	1.6129999999999998	1.396	1.2109999999999999	1.053	0.9169999999999999	0.8009999999999999	0.701	0.614	0.54	0.475	0.41900000000000004	0.37	0.327	0.29	0.257	0.22799999999999998	0.203	0.181	0.16199999999999998	0.145	0.13	0.116	0.104	0.094	0.084	0.076	0.06899999999999999	0.062	0.055999999999999994	0.051000000000000004	0.046	0.042	0.039	0.034999999999999996	0.032	0.03	0.027	0.025	0.023	0.021	0.019	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.013	0.012	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.008	0.008																											
P33410_1011	100.0	54.857	45.472	36.016999999999996	30.034	25.092	21.288	18.169	15.622	13.5	11.725	10.227	8.953	7.861999999999999	6.925000000000001	6.117	5.417000000000001	4.81	4.279999999999999	3.818	3.4130000000000003	3.057	2.743	2.465	2.22	2.002	1.8079999999999998	1.635	1.48	1.341	1.217	1.106	1.006	0.915	0.8340000000000001	0.76	0.694	0.635	0.581	0.5309999999999999	0.48700000000000004	0.447	0.41000000000000003	0.377	0.346	0.318	0.293	0.27	0.249	0.22999999999999998	0.212	0.196	0.182	0.168	0.156	0.14400000000000002	0.134	0.124	0.11499999999999999	0.107	0.099	0.092	0.086	0.08	0.075	0.06899999999999999	0.065	0.06	0.055999999999999994	0.053	0.049	0.046	0.043	0.04	0.038	0.034999999999999996	0.033	0.031	0.029	0.027	0.026	0.024	0.023	0.022000000000000002	0.02	0.019	0.018000000000000002	0.017	0.016	0.015	0.015	0.013999999999999999	0.013	0.013	0.012	0.012	0.011000000000000001	0.011000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.009000000000000001	0.008
