Sample	mosdepth_mqc-generalstats-mosdepth-1_x_pc	mosdepth_mqc-generalstats-mosdepth-5_x_pc	mosdepth_mqc-generalstats-mosdepth-10_x_pc	mosdepth_mqc-generalstats-mosdepth-30_x_pc	mosdepth_mqc-generalstats-mosdepth-50_x_pc	mosdepth_mqc-generalstats-mosdepth-median_coverage	mosdepth_mqc-generalstats-mosdepth-mean_coverage	mosdepth_mqc-generalstats-mosdepth-min_coverage	mosdepth_mqc-generalstats-mosdepth-max_coverage	mosdepth_mqc-generalstats-mosdepth-coverage_bases	mosdepth_mqc-generalstats-mosdepth-length	Picard: InsertSizeMetrics_mqc-generalstats-picard_insertsizemetrics-summed_median	Picard: InsertSizeMetrics_mqc-generalstats-picard_insertsizemetrics-summed_mean	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-MEDIAN_COVERAGE	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-MEAN_COVERAGE	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-SD_COVERAGE	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-PCT_30X
P33410_1001	66.01700000000001	28.203	11.026	0.562	0.056999999999999995	2	3.46924	0.0	3860.0	10753618216	3099702666	198	218.378058	1.0	2.625493	3.988727	0.001346
P33410_1002	62.651999999999994	27.428	11.544	0.75	0.087	2	3.47151	0.0	3878.0	10760592687	3099685209	198	218.823557	1.0	2.630885	4.239894	0.001932
P33410_1003	57.681000000000004	26.122	11.885	1.043	0.159	1	3.45618	0.0	3682.0	10713670244	3099861217	195	215.77165	1.0	2.600065	4.61676	0.003123
P33410_1004	62.602000000000004	27.193	11.195	0.716	0.093	2	3.43628	0.0	8126.0	10651383459	3099686481	193	213.019057	1.0	2.570702	4.205262	0.001867
P33410_1005	62.773	27.358	11.405	0.721	0.082	2	3.45687	0.0	4191.0	10715248928	3099695247	195	215.704671	1.0	2.600157	4.217852	0.001798
P33410_1006	57.664	26.808	12.028	0.864	0.106	1	3.44402	0.0	3143.0	10676140370	3099904632	193	213.467776	1.0	2.579122	4.395893	0.002189
P33410_1008	64.824	28.023999999999997	11.119	0.562	0.055	2	3.44435	0.0	2430.0	10676585583	3099736781	194	214.588269	1.0	2.588179	3.974119	0.00126
P33410_1009	71.702	29.953999999999997	10.147	0.27299999999999996	0.02	2	3.47267	0.0	2108.0	10764224350	3099700184	197	217.927465	2.0	2.625649	3.472156	0.000507
P33410_1010	65.783	28.294000000000004	11.038	0.54	0.055999999999999994	2	3.45941	0.0	2417.0	10723092796	3099689167	198	218.985455	1.0	2.623872	3.966269	0.001296
P33410_1011	54.857	25.092	11.725	1.217	0.212	1	3.41759	0.0	10515.0	10594083252	3099867452	194	213.995215	1.0	2.566373	4.816057	0.003984
P33410_1012	84.479	33.051	6.006	0.011000000000000001	0	3	3.45735	0.0	1983.0	10717475185	3099908840	198	218.116282	2.0	2.615573	2.443926	5.7e-05
P33410_1013	85.57000000000001	32.375	4.698	0	0	3	3.37409	0.0	3839.0	10458781608	3099734183	196	208.280391	2.0	2.546483	2.324009	5.4e-05
P33410_1014	84.261	32.157000000000004	5.236	0.008	0	3	3.36729	0.0	2821.0	10438127006	3099860645	195	205.429044	2.0	2.528495	2.40144	6.2e-05
P33410_1015	84.617	31.967000000000002	4.89	0	0	3	3.3479	0.0	3660.0	10378142507	3099899485	190	202.547223	2.0	2.491344	2.322303	5.5e-05
P33410_1016	83.438	33.156	5.6899999999999995	0	0	3	3.42085	0.0	4036.0	10604178792	3099865106	204	215.4696	2.0	2.62765	2.49416	5.9e-05
P33410_1017	85.062	32.079	4.696	0.01	0	3	3.35482	0.0	3928.0	10399523056	3099873362	191	203.448764	2.0	2.50109	2.32162	6.9e-05
P33410_1018	84.456	32.426	5.133	0	0	3	3.37997	0.0	3670.0	10477456262	3099869471	192	204.138336	2.0	2.519071	2.344845	5.5e-05
P33410_1019	62.800999999999995	32.486	9.998999999999999	0.058	0	2	3.33866	0.0	5662.0	10349406631	3099865664	188	199.470976	1.0	2.458576	3.190505	0.000118
P33410_1020	72.54599999999999	33.202	8.411	0.021	0	3	3.40204	0.0	6145.0	10545869738	3099862845	200	211.91217	2.0	2.592551	2.90608	8.1e-05
P33410_1021	84.898	32.128	4.737	0.011000000000000001	0	3	3.35607	0.0	3456.0	10402836364	3099703429	192	204.360568	2.0	2.509025	2.356968	8.1e-05
P33410_1022	83.63000000000001	32.176	5.665	0.01	0	3	3.3818	0.0	3120.0	10483125461	3099864119	193	204.792264	2.0	2.523828	2.41572	5.8e-05
P33410_1024	85.07000000000001	32.866	5.115	0	0	3	3.40416	0.0	3065.0	10552267796	3099819614	190	203.803776	2.0	2.520163	2.264171	2.6e-05
