Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
P33410_1001.alignment_metrics	PAIR	78804164.0	78804164.0	1.0	0.0	78790224.0	0.999823	11101251848.0	75811970.0	10719258547.0	10545508806.0	0.0	0.003507	0.003368	0.000251	142.954403	18.877163	151.0	0.0	15.0	151.0	140.911978	78784674.0	0.99993	2661474.0	0.033779	0.0	0.500674	0.047894	2e-06	0.014131	0.0	33.933818			
P33410_1002.alignment_metrics	PAIR	78996358.0	78996358.0	1.0	0.0	78984878.0	0.999855	11106995636.0	76086067.0	10733803758.0	10562861792.0	0.0	0.00347	0.00333	0.00025	142.692421	19.160092	151.0	0.0	15.0	151.0	140.641962	78980282.0	0.999942	2737050.0	0.034653	0.0	0.500608	0.049685	3e-06	0.014241	0.0	33.731518			
P33410_1003.alignment_metrics	PAIR	79055466.0	79055466.0	1.0	0.0	79043070.0	0.999843	11062392101.0	76128904.0	10690901935.0	10522133262.0	0.0	0.003423	0.003298	0.000242	142.049435	19.825661	151.0	0.0	15.0	151.0	139.970477	79038234.0	0.999939	2707296.0	0.034251	0.0	0.500572	0.049618	2e-06	0.014494	0.0	33.770617			
P33410_1004.alignment_metrics	PAIR	78971364.0	78971364.0	1.0	0.0	78956440.0	0.999811	11019181894.0	75870742.0	10630601259.0	10464593646.0	0.0	0.003485	0.00333	0.000263	141.843824	20.097722	151.0	0.0	15.0	151.0	139.576073	78950648.0	0.999927	2736736.0	0.034661	0.0	0.500519	0.051191	2e-06	0.015816	0.0	34.089886			
P33410_1005.alignment_metrics	PAIR	79056198.0	79056198.0	1.0	0.0	79041294.0	0.999811	11072644137.0	76099054.0	10700016081.0	10524639843.0	0.0	0.003579	0.003435	0.000249	142.237766	19.631945	151.0	0.0	15.0	151.0	140.100094	79035982.0	0.999933	2683134.0	0.033946	0.0	0.500477	0.049448	2e-06	0.014855	0.0	33.6019			
P33410_1006.alignment_metrics	PAIR	79008632.0	79008632.0	1.0	0.0	78993361.0	0.999807	11042961965.0	75897302.0	10649632378.0	10482259113.0	0.0	0.003488	0.003339	0.000252	141.953142	19.833831	151.0	0.0	15.0	151.0	139.809111	78988060.0	0.999933	2623537.0	0.033212	0.0	0.500505	0.048756	2e-06	0.014925	0.0	33.895528			
P33410_1008.alignment_metrics	PAIR	78793344.0	78793344.0	1.0	0.0	78781586.0	0.999851	11015764338.0	75821080.0	10638723393.0	10461851746.0	0.0	0.003548	0.003411	0.000249	141.847757	20.227465	151.0	0.0	15.0	151.0	139.845687	78776470.0	0.999935	2598646.0	0.032985	0.0	0.500712	0.047882	2e-06	0.013988	0.0	33.493466			
P33410_1009.alignment_metrics	PAIR	78869410.0	78869410.0	1.0	0.0	78857719.0	0.999852	11093562165.0	76124446.0	10741751307.0	10570828081.0	0.0	0.003423	0.003298	0.000239	142.537752	19.341004	151.0	0.0	15.0	151.0	140.695126	78852988.0	0.99994	2527197.0	0.032048	0.0	0.500613	0.045112	7e-06	0.0128	0.0	33.423822			
P33410_1010.alignment_metrics	PAIR	78853772.0	78853772.0	1.0	0.0	78840878.0	0.999836	11065438508.0	75890638.0	10687782787.0	10511959723.0	0.0	0.003523	0.00339	0.000248	142.443792	19.562428	151.0	0.0	15.0	151.0	140.367869	78835228.0	0.999928	2769580.0	0.035129	0.0	0.500657	0.050499	3e-06	0.014433	0.0	33.742496			
P33410_1011.alignment_metrics	PAIR	79005222.0	79005222.0	1.0	0.0	78989254.0	0.999798	11011612819.0	75734086.0	10605454189.0	10441703308.0	0.0	0.003457	0.003302	0.000258	141.747565	20.268044	151.0	0.0	15.0	151.0	139.419428	78981848.0	0.999906	2759138.0	0.034931	0.0	0.500561	0.051315	3e-06	0.016245	0.0	34.445157			
