Sample	ACCUMULATION_LEVEL	READS_USED	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP
P33410_1001.gc_summary_metrics	All Reads	ALL	100.0	40528307.0	81055479.0	2.979492	1.026434	0.654023	0.946251	1.079655	0.793004	2.071571			
P33410_1002.gc_summary_metrics	All Reads	ALL	100.0	40684443.0	81366355.0	2.70546	1.21889	0.658775	0.955797	1.073489	0.759567	1.848019			
P33410_1003.gc_summary_metrics	All Reads	ALL	100.0	40731346.0	81459627.0	1.90414	1.557391	0.683584	0.980794	1.051581	0.717955	1.736816			
P33410_1004.gc_summary_metrics	All Reads	ALL	100.0	40755962.0	81508015.0	2.490428	1.355954	0.66849	0.96084	1.070552	0.73814	1.702322			
P33410_1005.gc_summary_metrics	All Reads	ALL	100.0	40738939.0	81470475.0	2.235044	1.518609	0.683065	0.97121	1.061679	0.719816	1.570081			
P33410_1006.gc_summary_metrics	All Reads	ALL	100.0	40704937.0	81406775.0	3.075268	1.026223	0.663113	0.943024	1.083708	0.792022	1.702295			
P33410_1008.gc_summary_metrics	All Reads	ALL	100.0	40531785.0	81066935.0	3.335081	0.884391	0.645394	0.937108	1.086395	0.820316	2.138642			
P33410_1009.gc_summary_metrics	All Reads	ALL	100.0	40485754.0	80970834.0	2.249093	1.17037	0.679289	0.964362	1.063053	0.76927	1.978143			
P33410_1010.gc_summary_metrics	All Reads	ALL	100.0	40613152.0	81224034.0	4.585753	0.727008	0.590234	0.910983	1.11063	0.858138	2.097869			
P33410_1011.gc_summary_metrics	All Reads	ALL	100.0	40763178.0	81517940.0	3.30104	1.049791	0.640968	0.94049	1.086895	0.788271	1.780822			
P33410_1012.gc_summary_metrics	All Reads	ALL	100.0	40529287.0	81057357.0	3.806274	0.68816	0.643102	0.926684	1.093372	0.86441	1.867053			
P33410_1013.gc_summary_metrics	All Reads	ALL	100.0	41180205.0	82372918.0	1.918112	1.952189	0.672119	0.977749	1.057825	0.689097	1.728304			
P33410_1014.gc_summary_metrics	All Reads	ALL	100.0	41281438.0	82576269.0	1.675606	2.101933	0.689769	0.985603	1.050499	0.678851	1.697028			
P33410_1015.gc_summary_metrics	All Reads	ALL	100.0	41235434.0	82482858.0	2.235092	1.729993	0.644976	0.969033	1.06509	0.710196	1.766899			
P33410_1016.gc_summary_metrics	All Reads	ALL	100.0	41302663.0	82608588.0	1.355644	2.3158	0.716172	0.994318	1.042551	0.662585	1.76219			
P33410_1017.gc_summary_metrics	All Reads	ALL	100.0	41273192.0	82554609.0	1.968772	2.03425	0.661018	0.979848	1.055937	0.682504	1.996301			
P33410_1018.gc_summary_metrics	All Reads	ALL	100.0	41334102.0	82680349.0	1.995483	1.944205	0.663923	0.977596	1.058102	0.690852	1.64585			
P33410_1019.gc_summary_metrics	All Reads	ALL	100.0	41421822.0	82852896.0	2.344002	1.729605	0.664863	0.968081	1.066333	0.707778	1.608554			
P33410_1020.gc_summary_metrics	All Reads	ALL	100.0	41414476.0	82824542.0	0.90053	3.058564	0.744441	1.011702	1.029544	0.603462	1.993664			
P33410_1021.gc_summary_metrics	All Reads	ALL	100.0	41313128.0	82633293.0	1.583951	2.281065	0.700637	0.990873	1.046717	0.66118	1.657403			
P33410_1022.gc_summary_metrics	All Reads	ALL	100.0	41275646.0	82560542.0	2.903272	1.363385	0.651149	0.949392	1.081425	0.75076	1.70286			
P33410_1024.gc_summary_metrics	All Reads	ALL	100.0	41064210.0	82140550.0	1.849035	1.749103	0.671705	0.972177	1.062033	0.707932	1.575043			
