Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
P33410_1001_FR	P33410_1001	198.0	167.0	56.0	2.0	242742383.0	218.378058	99.59836	38027730.0	FR	23.0	45.0	67.0	89.0	113.0	141.0	173.0	221.0	313.0	435.0	717.0			
P33410_1002_FR	P33410_1002	198.0	159.0	57.0	2.0	242918821.0	218.823557	101.426531	38044881.0	FR	23.0	45.0	67.0	91.0	115.0	143.0	177.0	223.0	319.0	445.0	735.0			
P33410_1003_FR	P33410_1003	195.0	158.0	57.0	2.0	242742240.0	215.77165	100.902257	38069897.0	FR	23.0	45.0	67.0	91.0	115.0	143.0	175.0	223.0	317.0	443.0	731.0			
P33410_1004_FR	P33410_1004	193.0	162.0	56.0	2.0	242919392.0	213.019057	98.877118	37987896.0	FR	23.0	43.0	65.0	89.0	113.0	141.0	173.0	219.0	309.0	431.0	715.0			
P33410_1005_FR	P33410_1005	195.0	157.0	57.0	2.0	242565264.0	215.704671	100.106626	38050769.0	FR	23.0	45.0	67.0	89.0	115.0	141.0	175.0	221.0	315.0	437.0	723.0			
P33410_1006_FR	P33410_1006	193.0	160.0	56.0	2.0	242919023.0	213.467776	99.028053	38099544.0	FR	23.0	43.0	65.0	89.0	113.0	141.0	173.0	219.0	311.0	433.0	715.0			
P33410_1008_FR	P33410_1008	195.0	160.0	57.0	2.0	242923483.0	214.588269	99.594682	38045588.0	FR	23.0	45.0	67.0	91.0	115.0	143.0	175.0	221.0	311.0	433.0	709.0			
P33410_1009_FR	P33410_1009	197.0	167.0	57.0	2.0	242919296.0	217.927465	100.685795	38101620.0	FR	23.0	45.0	67.0	91.0	115.0	143.0	175.0	223.0	315.0	441.0	725.0			
P33410_1010_FR	P33410_1010	198.0	161.0	58.0	2.0	242562771.0	218.985455	102.292065	37974832.0	FR	23.0	45.0	69.0	93.0	117.0	145.0	179.0	227.0	321.0	447.0	735.0			
P33410_1011_FR	P33410_1011	194.0	156.0	57.0	2.0	242923385.0	213.995215	100.138179	37875459.0	FR	23.0	45.0	67.0	91.0	115.0	143.0	175.0	221.0	313.0	435.0	723.0			
P33410_1012_FR	P33410_1012	198.0	165.0	56.0	2.0	248105366.0	218.116282	99.223541	38006274.0	FR	23.0	45.0	67.0	89.0	113.0	141.0	173.0	219.0	311.0	431.0	709.0			
P33410_1013_FR	P33410_1013	196.0	184.0	59.0	2.0	242918995.0	208.280391	97.43435	37640256.0	FR	23.0	45.0	67.0	93.0	119.0	149.0	185.0	231.0	299.0	389.0	657.0			
P33410_1014_FR	P33410_1014	195.0	181.0	58.0	2.0	245783840.0	205.429044	93.884308	37565870.0	FR	23.0	43.0	67.0	91.0	117.0	147.0	181.0	225.0	291.0	369.0	619.0			
P33410_1015_FR	P33410_1015	190.0	179.0	58.0	2.0	242918847.0	202.547223	95.97028	37681812.0	FR	23.0	45.0	67.0	91.0	117.0	147.0	183.0	227.0	293.0	385.0	645.0			
P33410_1016_FR	P33410_1016	204.0	193.0	58.0	2.0	242918300.0	215.4696	96.159496	37360122.0	FR	23.0	45.0	67.0	91.0	117.0	149.0	185.0	231.0	301.0	381.0	639.0			
P33410_1017_FR	P33410_1017	191.0	176.0	58.0	2.0	242923645.0	203.448764	95.554771	37642882.0	FR	23.0	45.0	67.0	91.0	117.0	147.0	181.0	227.0	293.0	383.0	647.0			
P33410_1018_FR	P33410_1018	192.0	179.0	57.0	2.0	247996187.0	204.138336	93.773873	37681042.0	FR	21.0	43.0	65.0	89.0	115.0	143.0	177.0	221.0	289.0	375.0	637.0			
P33410_1019_FR	P33410_1019	188.0	175.0	56.0	2.0	242918898.0	199.470976	91.346228	37624821.0	FR	21.0	43.0	65.0	87.0	113.0	141.0	175.0	217.0	281.0	365.0	617.0			
P33410_1020_FR	P33410_1020	201.0	189.0	59.0	2.0	242607666.0	211.91217	96.508446	37355350.0	FR	23.0	45.0	67.0	93.0	119.0	149.0	185.0	231.0	299.0	381.0	637.0			
P33410_1021_FR	P33410_1021	192.0	179.0	58.0	2.0	242918626.0	204.360568	95.371647	37605244.0	FR	23.0	45.0	67.0	91.0	117.0	147.0	183.0	227.0	293.0	381.0	643.0			
P33410_1022_FR	P33410_1022	193.0	181.0	57.0	2.0	242917901.0	204.792264	94.072813	37633718.0	FR	21.0	43.0	65.0	89.0	115.0	143.0	177.0	221.0	289.0	375.0	639.0			
P33410_1024_FR	P33410_1024	190.0	176.0	55.0	2.0	248583476.0	203.803776	93.310606	37868556.0	FR	21.0	41.0	63.0	87.0	111.0	139.0	173.0	217.0	287.0	381.0	641.0			
