Sample	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
P33410_1001	2934876545.0	2.625493	3.988727	1.0	1.0	1e-06	0.036491	0.005412	1.4e-05	0.015492	0.254984	0.000858	0.313252	0.643541	0.19349	0.056007	0.018998	0.00721	0.002996	0.001346	0.000338	0.000126	7e-05	4.8e-05	3.8e-05	3.3e-05	2.9e-05	?	?	?	0.503591	3.0
P33410_1002	2934876545.0	2.630885	4.239894	1.0	1.0	2e-06	0.035715	0.006577	1.3e-05	0.015203	0.254348	0.00071	0.312568	0.610618	0.193381	0.06222	0.023159	0.009476	0.004157	0.001932	0.000504	0.000175	8.1e-05	4.6e-05	3.3e-05	2.6e-05	2.3e-05	?	?	?	0.480285	3.0
P33410_1003	2934876545.0	2.600065	4.61676	1.0	1.0	1e-06	0.035707	0.007091	1.3e-05	0.015057	0.258632	0.001511	0.318013	0.562266	0.18808	0.067466	0.027849	0.012558	0.006078	0.003123	0.000927	0.000317	0.000134	7.2e-05	4.8e-05	3.8e-05	3.2e-05	?	?	?	0.444919	3.0
P33410_1004	2934876545.0	2.570702	4.205262	1.0	1.0	1e-06	0.037644	0.007633	1.5e-05	0.014854	0.261871	0.00149	0.323508	0.610382	0.1877	0.058309	0.021291	0.008672	0.003857	0.001867	0.00054	0.00021	0.000104	6.5e-05	4.9e-05	4.1e-05	3.6e-05	?	?	?	0.479276	3.0
P33410_1005	2934876545.0	2.600157	4.217852	1.0	1.0	1e-06	0.035863	0.007733	1.4e-05	0.015612	0.258138	0.001291	0.318652	0.611911	0.190952	0.060179	0.021998	0.008911	0.003889	0.001798	0.000462	0.000161	8.1e-05	5.3e-05	4.1e-05	3.5e-05	3.2e-05	?	?	?	0.48105	3.0
P33410_1006	2934876545.0	2.579122	4.395893	1.0	1.0	1e-06	0.037786	0.006683	1.3e-05	0.014968	0.262224	0.000628	0.322304	0.562655	0.192084	0.066012	0.02537	0.010485	0.004641	0.002189	0.000587	0.000205	9.3e-05	5.4e-05	3.9e-05	3.3e-05	2.8e-05	?	?	?	0.448195	3.0
P33410_1008	2934876545.0	2.588179	3.974119	1.0	1.0	1e-06	0.036314	0.005219	1.2e-05	0.015898	0.259926	0.000496	0.317866	0.631703	0.191802	0.055797	0.018782	0.007023	0.002867	0.00126	0.000309	0.000114	6.3e-05	4.4e-05	3.6e-05	3.2e-05	3e-05	?	?	?	0.495562	3.0
P33410_1009	2934876545.0	2.625649	3.472156	2.0	2.0	4e-06	0.033616	0.005974	1.2e-05	0.015237	0.257041	0.00036	0.312245	0.698368	0.19552	0.04461	0.011871	0.003629	0.001272	0.000507	0.000119	4.9e-05	3.2e-05	2.7e-05	2.4e-05	2.2e-05	2.1e-05	?	?	?	0.544682	3.0
P33410_1010	2934876545.0	2.623872	3.966269	1.0	1.0	2e-06	0.036289	0.005793	1.3e-05	0.015715	0.253038	0.001005	0.311855	0.641154	0.194919	0.055885	0.018644	0.006971	0.002887	0.001296	0.000329	0.000118	6.5e-05	4.5e-05	3.6e-05	3.1e-05	2.7e-05	?	?	?	0.502278	3.0
P33410_1011	2934876545.0	2.566373	4.816057	1.0	1.0	2e-06	0.039214	0.010459	1.6e-05	0.014593	0.258443	0.0014	0.324127	0.535537	0.182354	0.068521	0.029989	0.014448	0.007406	0.003984	0.001302	0.000481	0.000199	0.0001	6.3e-05	4.6e-05	3.7e-05	?	?	?	0.424999	2.0
P33410_1012	2934876545.0	2.615573	2.443926	2.0	1.0	2e-06	0.036529	0.010942	1.1e-05	0.015579	0.254333	0.000142	0.317538	0.823325	0.177989	0.01272	0.001065	0.0002	8.7e-05	5.7e-05	3.8e-05	3e-05	2.5e-05	2.1e-05	1.9e-05	1.7e-05	1.5e-05	2.615573	?	?	0.635935	4.0
P33410_1013	2934876545.0	2.546483	2.324009	2.0	1.0	2e-06	0.034189	0.010481	1.7e-05	0.014406	0.255808	0.002195	0.317097	0.832984	0.163239	0.007076	0.000419	0.000118	7.2e-05	5.4e-05	3.8e-05	3e-05	2.5e-05	2.3e-05	2.1e-05	1.9e-05	1.8e-05	2.546483	?	?	0.64257	4.0
P33410_1014	2934876545.0	2.528495	2.40144	2.0	1.0	1e-06	0.03492	0.011817	1.7e-05	0.014513	0.259256	0.001527	0.322051	0.820257	0.165278	0.008999	0.000606	0.000145	8.4e-05	6.2e-05	4.2e-05	3.3e-05	2.9e-05	2.5e-05	2.3e-05	2.1e-05	1.9e-05	2.528495	?	?	0.632907	4.0
P33410_1015	2934876545.0	2.491344	2.322303	2.0	1.0	2e-06	0.034632	0.010226	1.6e-05	0.014469	0.265697	0.001786	0.326827	0.823668	0.15762	0.007382	0.000483	0.000132	7.7e-05	5.5e-05	3.8e-05	3e-05	2.6e-05	2.3e-05	2e-05	1.8e-05	1.7e-05	2.491344	?	?	0.634517	4.0
P33410_1016	2934876545.0	2.62765	2.49416	2.0	1.0	1e-06	0.033327	0.011687	1.4e-05	0.014264	0.243816	0.002138	0.305247	0.812445	0.184631	0.011325	0.000722	0.000155	8.3e-05	5.9e-05	4e-05	3.1e-05	2.6e-05	2.3e-05	2.1e-05	1.9e-05	1.8e-05	2.62765	?	?	0.629992	4.0
P33410_1017	2934876545.0	2.50109	2.32162	2.0	1.0	2e-06	0.036214	0.008374	1.6e-05	0.014375	0.264337	0.002073	0.32539	0.828212	0.15679	0.006811	0.000486	0.000157	9.4e-05	6.9e-05	4.6e-05	3.5e-05	2.8e-05	2.5e-05	2.3e-05	2.1e-05	1.9e-05	2.50109	?	?	0.638172	4.0
P33410_1018	2934876545.0	2.519071	2.344845	2.0	1.0	2e-06	0.034739	0.009802	1.3e-05	0.013923	0.265157	0.00193	0.325565	0.822212	0.162502	0.008109	0.000518	0.00013	7.5e-05	5.5e-05	3.8e-05	2.9e-05	2.5e-05	2.2e-05	2e-05	1.8e-05	1.7e-05	2.519071	?	?	0.63495	4.0
P33410_1019	2934876545.0	2.458576	3.190505	1.0	1.0	1e-06	0.041466	0.009707	1.5e-05	0.014327	0.270335	0.002388	0.338239	0.612867	0.205902	0.031963	0.004583	0.00078	0.000228	0.000118	6.5e-05	4.9e-05	4e-05	3.3e-05	2.9e-05	2.7e-05	2.5e-05	?	?	?	0.498589	3.0
P33410_1020	2934876545.0	2.592551	2.90608	2.0	2.0	2e-06	0.031764	0.012715	1.4e-05	0.01348	0.249301	0.003072	0.310348	0.706791	0.207348	0.024495	0.002442	0.000355	0.000128	8.1e-05	5.1e-05	3.8e-05	3e-05	2.6e-05	2.3e-05	2.1e-05	1.9e-05	?	?	?	0.56154	4.0
P33410_1021	2934876545.0	2.509025	2.356968	2.0	1.0	2e-06	0.036812	0.009934	1.9e-05	0.014256	0.261905	0.002064	0.324992	0.82674	0.159062	0.006897	0.000483	0.000172	0.00011	8.1e-05	5.4e-05	4e-05	3.2e-05	2.8e-05	2.5e-05	2.3e-05	2.1e-05	2.509025	?	?	0.637507	4.0
