## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1002.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1002.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1002/P33410_1002.md.cram OUTPUT=picard/P33410_1002.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:35:32 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	480	17	0.129782	0.005924			
All Reads	ALL	1	96778	184	16	0.068577	0.005056			
All Reads	ALL	2	112145	325	18	0.10453	0.005798			
All Reads	ALL	3	142995	406	18	0.10241	0.005083			
All Reads	ALL	4	154320	633	18	0.147951	0.005881			
All Reads	ALL	5	157807	901	18	0.205937	0.006861			
All Reads	ALL	6	178809	1169	18	0.23581	0.006897			
All Reads	ALL	7	192237	1449	18	0.271874	0.007142			
All Reads	ALL	8	219150	1830	19	0.301194	0.007041			
All Reads	ALL	9	247666	2378	18	0.346324	0.007102			
All Reads	ALL	10	291586	3234	19	0.400046	0.007035			
All Reads	ALL	11	356793	4414	19	0.446224	0.006716			
All Reads	ALL	12	465979	6593	20	0.510333	0.006285			
All Reads	ALL	13	615239	9801	20	0.574597	0.005804			
All Reads	ALL	14	873141	14939	20	0.617126	0.005049			
All Reads	ALL	15	1285786	23571	21	0.66122	0.004307			
All Reads	ALL	16	1924728	36321	21	0.680652	0.003571			
All Reads	ALL	17	2891023	56552	22	0.705559	0.002967			
All Reads	ALL	18	4335741	87258	22	0.725903	0.002457			
All Reads	ALL	19	6401990	132522	23	0.746637	0.002051			
All Reads	ALL	20	9247196	194050	23	0.756903	0.001718			
All Reads	ALL	21	13006685	279659	23	0.775531	0.001467			
All Reads	ALL	22	17758784	388938	24	0.789958	0.001267			
All Reads	ALL	23	23572432	524582	24	0.802686	0.001108			
