TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	727920920.0	727825037.8	728004514.3
2000000000.0	1136137690.0	1136030023.5	1136255518.0
3000000000.0	1386531971.1	1386424587.3	1386671326.6
4000000000.0	1550280116.2	1550116624.0	1550457960.8
5000000000.0	1662803274.5	1662508931.0	1663075056.6
6000000000.0	1743313334.9	1742700701.7	1743958103.4
7000000000.0	1802934340.4	1801456849.6	1803914638.3
8000000000.0	1848480759.1	1845810117.3	1850135283.1
9000000000.0	1884036245.5	1880138771.8	1886583035.7
10000000000.0	1912646658.6	1907152954.3	1916189818.5
11000000000.0	1936021484.4	1929264627.5	1941171378.2
12000000000.0	1955585528.6	1946933644.9	1962600208.1
13000000000.0	1972168375.2	1961461031.0	1981372718.5
14000000000.0	1986469894.9	1973680637.8	1998101110.8
15000000000.0	1998766720.8	1983969737.9	2013310121.2
16000000000.0	2009809276.2	1992535138.5	2027353167.1
17000000000.0	2019696214.0	1999849903.8	2040488548.2
18000000000.0	2028278804.6	2006323957.6	2052909698.1
19000000000.0	2036479656.0	2011973638.0	2064762707.9
20000000000.0	2043707804.9	2016931143.8	2076158737.5
21000000000.0	2050403210.8	2021307856.6	2087182921.5
22000000000.0	2056579449.7	2025193594.5	2097900835.4
23000000000.0	2062317601.6	2028661413.5	2108363240.7
24000000000.0	2067672500.9	2031771212.9	2118609601.4
25000000000.0	2072802066.5	2034559860.9	2128670712.6
26000000000.0	2077667768.2	2037016064.8	2138570681.0
27000000000.0	2082271408.4	2039240496.8	2148328429.1
28000000000.0	2086628877.8	2041262299.5	2157958843.5
29000000000.0	2090708711.8	2043106149.3	2167473658.9
30000000000.0	2094591618.0	2044793052.2	2176882140.3
31000000000.0	2098744119.5	2046340979.8	2186191613.7
32000000000.0	2102869285.5	2047754544.0	2195546028.3
33000000000.0	2106637569.4	2049006580.9	2205088934.7
34000000000.0	2109952543.0	2050159683.7	2214583648.5
35000000000.0	2113136328.0	2051224098.5	2224032456.0
36000000000.0	2116197940.5	2052208777.5	2233437001.6
37000000000.0	2119223949.6	2053121570.0	2242798424.4
38000000000.0	2122325494.7	2053969381.3	2252117466.6
39000000000.0	2125332489.9	2054758305.6	2261394561.1
40000000000.0	2128250213.5	2055493737.3	2270629901.1
41000000000.0	2131035405.5	2056180465.8	2279823496.5
42000000000.0	2133597493.3	2056822754.5	2288975218.9
43000000000.0	2136080054.5	2057424409.2	2298084837.5
44000000000.0	2138487164.2	2057988835.1	2307152048.3
45000000000.0	2140822582.1	2058519087.1	2316176496.9
46000000000.0	2143089785.7	2059017911.6	2325157797.2
47000000000.0	2145292000.2	2059487783.5	2334095546.1
48000000000.0	2147432223.6	2059930937.6	2342989334.8
49000000000.0	2149513249.1	2060349396.2	2351838758.1
50000000000.0	2151537684.2	2060744993.0	2360643421.3
51000000000.0	2153507968.1	2061119393.4	2369402945.7
52000000000.0	2155426386.5	2061474113.3	2378116972.4
53000000000.0	2157295084.9	2061810534.5	2386785165.8
54000000000.0	2159116080.7	2062129919.0	2395407215.1
55000000000.0	2160891273.5	2062433421.0	2403982836.2
56000000000.0	2162622454.4	2062722098.3	2412511772.3
57000000000.0	2164311314.8	2062996921.0	2420993794.1
58000000000.0	2165959453.6	2063258781.0	2429428700.5
59000000000.0	2167568384.3	2063508498.7	2437816317.5
60000000000.0	2169139541.1	2063746830.3	2446156498.3
61000000000.0	2170619055.4	2063974473.6	2454449122.5
62000000000.0	2172031877.3	2064192073.2	2462694095.2
63000000000.0	2173411173.3	2064400225.6	2470891346.4
64000000000.0	2174758152.8	2064599483.0	2479040829.8
65000000000.0	2176073965.1	2064790357.8	2487142521.9
66000000000.0	2177359703.7	2064973325.5	2495196421.2
67000000000.0	2178616409.5	2065148828.2	2503202546.6
68000000000.0	2179845074.4	2065317277.1	2511160937.1
69000000000.0	2181046643.9	2065479055.2	2519071650.4
70000000000.0	2182222020.3	2065634519.6	2526934761.8
71000000000.0	2183372064.9	2065784003.8	2534750363.5
72000000000.0	2184497600.8	2065927819.1	2542518563.4
73000000000.0	2185599414.7	2066066256.7	2550239484.5
74000000000.0	2186678259.1	2066199589.0	2557913263.6
75000000000.0	2187734854.4	2066328071.4	2565540050.6
76000000000.0	2188769890.2	2066451943.1	2573120007.8
