Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
P33410_1001.md	27.0	17.999999999999993	13.000000000000007	9.0	6.0	6.0	4.0	2.9999999999999982	2.0000000000000018	2.0	2.0	0.9999999999999991	1.0000000000000009	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0									
P33410_1002.md	30.0	19.0	11.0	8.0	6.0	5.0	3.0	3.0	3.0	2.0	1.0	1.9999999999999991	1.0000000000000009	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
P33410_1003.md	36.0	17.0	10.0	7.0	5.0	4.0	4.0	2.0	2.0	2.0	2.0	1.0	0.9999999999999991	1.0000000000000009	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
P33410_1004.md	30.0	18.0	12.0	8.0	6.0	5.0	4.0	2.9999999999999982	2.0000000000000018	2.0	2.0	0.9999999999999991	1.0000000000000009	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
P33410_1005.md	30.0	18.0	12.0	8.0	6.0	5.0	4.0	2.9999999999999982	2.0000000000000018	2.0	2.0	0.9999999999999991	1.0000000000000009	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
P33410_1006.md	36.0	16.0	10.0	7.0	5.0	5.0	3.0	3.0	2.0	2.0	2.0	1.0	0.9999999999999991	1.0000000000000009	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
P33410_1008.md	28.0	18.0	12.0	9.0	6.0	6.0	4.0	2.9999999999999982	2.0000000000000018	2.0	2.0	0.9999999999999991	1.0000000000000009	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0									
P33410_1009.md	21.0	19.0	13.0	11.0	7.9999999999999964	6.0000000000000036	5.0	4.0	2.0	3.0	0.9999999999999991	2.000000000000001	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0													
P33410_1010.md	27.0	19.0	12.0	8.0	7.0	5.0	5.0	2.9999999999999982	2.0000000000000018	2.0	2.0	0.9999999999999991	1.0000000000000009	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0									
P33410_1011.md	39.0	16.0	9.0	7.0000000000000036	4.9999999999999964	4.0	3.0	2.9999999999999982	2.0000000000000018	1.0	2.0	1.0	0.9999999999999991	1.0000000000000009	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P33410_1012.md	10.0	13.0	16.0	17.0	14.0	10.0	7.0	5.0	3.0	2.0	1.0	1.0	0.0	0.0																							
P33410_1013.md	10.0	11.0	17.0	17.0	16.000000000000004	10.999999999999996	8.0	4.0	3.0	1.0	1.0	0.0																									
P33410_1014.md	11.0	12.0	16.0	17.0	15.000000000000004	9.999999999999996	8.0	3.999999999999999	3.000000000000001	2.0	1.0	0.0																									
P33410_1015.md	10.0	12.0	17.0	17.0	15.000000000000004	10.999999999999996	7.0	5.0	3.0	1.0	1.0	0.0																									
P33410_1016.md	13.0	11.0	16.0	15.0	14.0	11.0	7.0	5.0	3.0	2.0	1.0	1.0	0.0																								
P33410_1017.md	10.0	11.0	17.0	18.0	15.000000000000004	10.999999999999996	8.0	4.0	3.0	1.0	1.0	0.0																									
P33410_1018.md	11.0	11.0	16.0	18.0	15.000000000000004	10.999999999999996	7.0	5.0	2.0	2.0	1.0	0.0																									
P33410_1019.md	35.0	7.000000000000007	7.999999999999993	9.0	9.0	7.0	6.0	4.999999999999998	4.000000000000002	2.0	2.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0																			
P33410_1020.md	24.0	11.0	11.0	12.0	10.0	8.0	7.0	5.0	4.0	2.0	2.0	1.0	1.0	1.0	0.0	0.0																					
P33410_1021.md	10.0	12.0	16.0	18.0	15.000000000000004	10.999999999999996	8.0	4.0	3.0	1.0	1.0	0.0																									
P33410_1022.md	11.0	13.0	16.0	17.0	14.000000000000004	9.999999999999996	7.0	4.999999999999999	2.000000000000001	2.0	1.0	1.0	0.0																								
P33410_1024.md	10.0	11.0	17.0	17.0	15.0	12.0	7.0	5.0	2.0	2.0	1.0	0.0																									
