Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
P33410_1001.md	100.0	73.0	55.00000000000001	42.0	33.0	27.0	21.0	17.0	14.000000000000002	12.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0									
P33410_1002.md	100.0	70.0	51.0	40.0	32.0	26.0	21.0	18.0	15.0	12.0	10.0	9.0	7.000000000000001	6.0	5.0	5.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						
P33410_1003.md	100.0	64.0	47.0	37.0	30.0	25.0	21.0	17.0	15.0	13.0	11.0	9.0	8.0	7.000000000000001	6.0	5.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		
P33410_1004.md	100.0	70.0	52.0	40.0	32.0	26.0	21.0	17.0	14.000000000000002	12.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						
P33410_1005.md	100.0	70.0	52.0	40.0	32.0	26.0	21.0	17.0	14.000000000000002	12.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						
P33410_1006.md	100.0	64.0	48.0	38.0	31.0	26.0	21.0	18.0	15.0	13.0	11.0	9.0	8.0	7.000000000000001	6.0	5.0	4.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0					
P33410_1008.md	100.0	72.0	54.0	42.0	33.0	27.0	21.0	17.0	14.000000000000002	12.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0									
P33410_1009.md	100.0	79.0	60.0	47.0	36.0	28.000000000000004	22.0	17.0	13.0	11.0	8.0	7.000000000000001	5.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0													
P33410_1010.md	100.0	73.0	54.0	42.0	34.0	27.0	22.0	17.0	14.000000000000002	12.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0									
P33410_1011.md	100.0	61.0	45.0	36.0	28.999999999999996	24.0	20.0	17.0	14.000000000000002	12.0	11.0	9.0	8.0	7.000000000000001	6.0	5.0	5.0	4.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
P33410_1012.md	100.0	90.0	77.0	61.0	44.0	30.0	20.0	13.0	8.0	5.0	3.0	2.0	1.0	1.0	1.0																							
P33410_1013.md	100.0	90.0	79.0	62.0	45.0	28.999999999999996	18.0	10.0	6.0	3.0	2.0	1.0	1.0																									
P33410_1014.md	100.0	89.0	77.0	61.0	44.0	28.999999999999996	19.0	11.0	7.000000000000001	4.0	2.0	1.0	1.0																									
P33410_1015.md	100.0	90.0	78.0	61.0	44.0	28.999999999999996	18.0	11.0	6.0	3.0	2.0	1.0	1.0																									
P33410_1016.md	100.0	87.0	76.0	60.0	45.0	31.0	20.0	13.0	8.0	5.0	3.0	2.0	1.0	1.0																								
P33410_1017.md	100.0	90.0	79.0	62.0	44.0	28.999999999999996	18.0	10.0	6.0	3.0	2.0	1.0	1.0																									
P33410_1018.md	100.0	89.0	78.0	62.0	44.0	28.999999999999996	18.0	11.0	6.0	4.0	2.0	1.0	1.0																									
P33410_1019.md	100.0	65.0	57.99999999999999	50.0	41.0	32.0	25.0	19.0	14.000000000000002	10.0	8.0	6.0	4.0	3.0	2.0	2.0	1.0	1.0	1.0																			
P33410_1020.md	100.0	76.0	65.0	54.0	42.0	32.0	24.0	17.0	12.0	8.0	6.0	4.0	3.0	2.0	1.0	1.0	1.0																					
P33410_1021.md	100.0	90.0	78.0	62.0	44.0	28.999999999999996	18.0	10.0	6.0	3.0	2.0	1.0	1.0																									
P33410_1022.md	100.0	89.0	76.0	60.0	43.0	28.999999999999996	19.0	12.0	7.000000000000001	5.0	3.0	2.0	1.0	1.0																								
P33410_1024.md	100.0	90.0	79.0	62.0	45.0	30.0	18.0	11.0	6.0	4.0	2.0	1.0	1.0																									
