Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P33410_1001-L003_1	P33410_1001-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39993858.0	6 Gbp	0.0	151.0	42.0	96.33202150828754	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1001-L003_2	P33410_1001-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39993858.0	6 Gbp	0.0	151.0	42.0	95.8756069118608	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1002-L003_1	P33410_1002-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39996240.0	6 Gbp	0.0	151.0	41.0	96.50473764228855	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1002-L003_2	P33410_1002-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39996240.0	6 Gbp	0.0	151.0	42.0	95.98001281390769	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1003-L003_1	P33410_1003-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39997179.0	6 Gbp	0.0	151.0	41.0	95.93386009391915	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1003-L003_2	P33410_1003-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39997179.0	6 Gbp	0.0	151.0	41.0	95.5531935542708	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1004-L003_1	P33410_1004-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39995528.0	6 Gbp	0.0	151.0	41.0	96.16944177889707	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1004-L003_2	P33410_1004-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39995528.0	6 Gbp	0.0	151.0	42.0	95.84674243635595	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1005-L003_1	P33410_1005-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	40000727.0	6 Gbp	0.0	151.0	41.0	96.26007922114395	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1005-L003_2	P33410_1005-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	40000727.0	6 Gbp	0.0	151.0	41.0	95.90795777421923	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1006-L003_1	P33410_1006-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39996186.0	6 Gbp	0.0	151.0	42.0	96.24113438750285	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1006-L003_2	P33410_1006-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39996186.0	6 Gbp	0.0	151.0	42.0	95.8675382806169	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
