Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_adapter	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage
P33410_1001-L003							0.5615239999999999	0.946322	10660694813.0	78804164.0	0.414581	98.52033279710099	23.925962581554398														
P33410_1001-L003.md														0.005774													
P33410_1001-L003_1	3.6679784917124607	42.0	151.0	151	18.181818181818183	39993858.0																					
P33410_1001-L003_2	4.1243930881392	42.0	151.0	151	18.181818181818183	39993858.0																					
P33410_1001.md															0.004166994	0.0	78790224.0	99.98231057942573	96.6049839701364	3.0978731022386077	78804164.0	73.0	27.0	10.0	0	0	2
P33410_1002-L003							0.564338	0.947276	10677864424.0	78996358.0	0.413307	98.7547304446618	24.451633453544634														
P33410_1002-L003.md														0.006973													
P33410_1002-L003_1	3.4952623577114537	41.0	151.0	151	18.181818181818183	39996240.0																					
P33410_1002-L003_2	4.019987186092308	42.0	151.0	151	18.181818181818183	39996240.0																					
P33410_1002.md															0.004129297	0.0	78984878.0	99.98546768447224	96.52068770056462	3.016785913092348	78996358.0	70.0	26.0	10.0	1.0	0	2
P33410_1003-L003							0.563182	0.947755	10643081267.0	79055466.0	0.410551	98.82630222496441	25.88079524308452														
P33410_1003-L003.md														0.007528													
P33410_1003-L003_1	4.066139906080849	41.0	151.0	151	18.181818181818183	39997179.0																					
P33410_1003-L003_2	4.4468064457291945	41.0	151.0	151	18.181818181818183	39997179.0																					
P33410_1003.md															0.004054088	0.0	79043070.0	99.98431986979875	96.55976729047427	3.0359482037586116	79055466.0	64.0	25.0	11.0	1.0	0	1
P33410_1004-L003							0.5746020000000001	0.948283	10622284192.0	78971364.0	0.412483	98.7252424821095	26.279395536420974														
P33410_1004-L003.md														0.008136													
P33410_1004-L003_1	3.830558221102933	41.0	151.0	151	18.181818181818183	39995528.0																					
P33410_1004-L003_2	4.153257563644047	42.0	151.0	151	18.181818181818183	39995528.0																					
P33410_1004.md															0.004191744	0.0	78956440.0	99.98110201059716	96.51562305546602	3.1957495377691587	78971364.0	70.0	26.0	10.0	1.0	0	2
P33410_1005-L003							0.57618	0.94626	10640483987.0	79056198.0	0.411273	98.81845147464445	25.53372342457676														
P33410_1005-L003.md														0.008219													
