Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
P33410_1001-L003.md	P33410_1001	5550.0	39392337.0	2265255.0	13940.0	3234.0	225853.0	43469.0	0.005774	4231580909.0
P33410_1002-L003.md	P33410_1002	4596.0	39490141.0	2381477.0	11480.0	2337.0	274213.0	54574.0	0.006973	3527115348.0
P33410_1003-L003.md	P33410_1003	4836.0	39519117.0	2416557.0	12396.0	2557.0	296254.0	54169.0	0.007528	3203639919.0
P33410_1004-L003.md	P33410_1004	5792.0	39475324.0	2551575.0	14924.0	3294.0	319559.0	61096.0	0.008136	2992077216.0
P33410_1005-L003.md	P33410_1005	5312.0	39517991.0	2429181.0	14904.0	2859.0	323373.0	61781.0	0.008219	2962445190.0
P33410_1006-L003.md	P33410_1006	5301.0	39494030.0	2413414.0	15271.0	2775.0	279968.0	49717.0	0.007124	3365442909.0
P33410_1008-L003.md	P33410_1008	5116.0	39388235.0	2285349.0	11758.0	2918.0	218193.0	40827.0	0.005576	4351348109.0
P33410_1009-L003.md	P33410_1009	4731.0	39426494.0	2113115.0	11691.0	2535.0	249134.0	50306.0	0.006351	3885922467.0
P33410_1010-L003.md	P33410_1010	5650.0	39417614.0	2383156.0	12894.0	3065.0	241233.0	54132.0	0.006158	4127636546.0
P33410_1011-L003.md	P33410_1011	7406.0	39490924.0	2528686.0	15968.0	4778.0	438398.0	83795.0	0.011161	2176507041.0
P33410_1012-L003.md	P33410_1012	4262.0	39499161.0	2054773.0	11692.0	2084.0	454293.0	87152.0	0.011527	2102250759.0
P33410_1013-L003.md	P33410_1013	11709.0	39468654.0	3423901.0	19421.0	9136.0	420396.0	146673.0	0.010766	2811298794.0
P33410_1014-L003.md	P33410_1014	11285.0	39471233.0	3622518.0	20123.0	8522.0	477717.0	147662.0	0.012209	2329427595.0
P33410_1015-L003.md	P33410_1015	11788.0	39474728.0	3521614.0	20388.0	9291.0	412058.0	119071.0	0.010555	2630101389.0
P33410_1016-L003.md	P33410_1016	12909.0	39422255.0	3751169.0	22013.0	10445.0	472973.0	157946.0	0.012128	2433805158.0
P33410_1017-L003.md	P33410_1017	17209.0	39428931.0	3679538.0	25459.0	14672.0	337680.0	107368.0	0.008748	3343598942.0
P33410_1018-L003.md	P33410_1018	10305.0	39490995.0	3688054.0	18539.0	8044.0	397595.0	119162.0	0.010169	2770548585.0
P33410_1019-L003.md	P33410_1019	10505.0	39475505.0	3891381.0	21031.0	8101.0	396451.0	107507.0	0.010144	2668763709.0
P33410_1020-L003.md	P33410_1020	19738.0	39468815.0	3867174.0	28930.0	17377.0	514604.0	173229.0	0.013255	2248534675.0
P33410_1021-L003.md	P33410_1021	12123.0	39462378.0	3696414.0	20837.0	8971.0	401669.0	129259.0	0.010291	2826516680.0
P33410_1022-L003.md	P33410_1022	10902.0	39464609.0	3620422.0	19334.0	8597.0	428474.0	128527.0	0.010965	2566205835.0
P33410_1024-L003.md	P33410_1024	8980.0	39495212.0	3141146.0	15178.0	7130.0	436355.0	145876.0	0.011137	2652069043.0
