Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P33410_1001.md	78804164.0	0.0	78804164.0	1.0	39402082.0	39402082.0	78790224.0	78784674.0	13940.0	76128750.0	78804164.0	454940.0	2441253.0	0.0	0.0	2265255.0	11265402198.0	5631726133.0	5633676065.0	11263640081.0	11223532655.0	0.0	63574946.0	46768395.0	0.004166994	143.0	143.0	143.0	151.0	151.0	151.0	38.9	219.6	102.1	33309742.0	4999355.0	720294.0	362946.0	96.6	99.98231057942573	99.97526780437643	0.017689420574273206	96.6049839701364	100.0	0.5773045190860726	3.0978731022386077	0.0
P33410_1002.md	78996358.0	0.0	78996358.0	1.0	39498179.0	39498179.0	78984878.0	78980282.0	11480.0	76247828.0	78996358.0	550763.0	2383151.0	0.0	0.0	2381477.0	11272181589.0	5635191378.0	5636990211.0	11270724848.0	11235400385.0	0.0	76710492.0	46394305.0	0.004129297	143.0	143.0	143.0	151.0	151.0	151.0	38.9	220.6	105.3	33260861.0	5118812.0	773204.0	337264.0	96.5	99.98546768447224	99.97964969473657	0.014532315527761418	96.52068770056462	100.0	0.6972004962557894	3.016785913092348	0.0
P33410_1003.md	79055466.0	0.0	79055466.0	1.0	39527733.0	39527733.0	79043070.0	79038234.0	12396.0	76335774.0	79055466.0	595065.0	2400083.0	0.0	0.0	2416557.0	11229784268.0	5613973563.0	5615810705.0	11228196413.0	11192264555.0	0.0	82333487.0	45374423.0	0.004054088	142.0	142.0	142.0	151.0	151.0	151.0	39.0	217.5	105.0	33016230.0	5413799.0	753324.0	335764.0	96.6	99.98431986979875	99.97820264572218	0.01568013020124377	96.55976729047427	100.0	0.7527183509360378	3.0359482037586116	0.0
P33410_1004.md	78971364.0	0.0	78971364.0	1.0	39485682.0	39485682.0	78956440.0	78950648.0	14924.0	76219704.0	78971364.0	642412.0	2523727.0	0.0	0.0	2551575.0	11201600256.0	5599855462.0	5601744794.0	11199675698.0	11156104230.0	0.0	88807835.0	46763528.0	0.004191744	142.0	142.0	142.0	151.0	151.0	151.0	39.0	214.6	102.5	32861558.0	5512560.0	761302.0	339904.0	96.5	99.98110201059716	99.97376770648155	0.018897989402842274	96.51562305546602	100.0	0.8134746159380001	3.1957495377691587	0.0
P33410_1005.md	79056198.0	0.0	79056198.0	1.0	39528099.0	39528099.0	79041294.0	79035982.0	14904.0	76358160.0	79056198.0	649605.0	2414595.0	0.0	0.0	2429181.0	11244776986.0	5621502597.0	5623274389.0	11242818382.0	11203272030.0	0.0	90056274.0	47443005.0	0.004234746	142.0	142.0	142.0	151.0	151.0	151.0	38.9	217.3	103.7	33100464.0	5335707.0	753514.0	328306.0	96.6	99.98114758820049	99.97442831743567	0.01885241179951507	96.58718978618222	100.0	0.8217002795909817	3.054276655196598	0.0
P33410_1006.md	79008632.0	0.0	79008632.0	1.0	39504316.0	39504316.0	78993361.0	78988060.0	15271.0	76369824.0	79008632.0	562711.0	2560706.0	0.0	0.0	2413414.0	11215523574.0	5606867722.0	5608655852.0	11213517928.0	11172547173.0	0.0	77734508.0	46342001.0	0.004147845	142.0	142.0	142.0	151.0	151.0	151.0	39.0	214.8	102.0	32933046.0	5504595.0	742914.0	313475.0	96.7	99.98067173217225	99.97396233869738	0.019328267827748238	96.66010164560247	100.0	0.7122145843507327	3.2410458644569364	0.0
P33410_1008.md	78793344.0	0.0	78793344.0	1.0	39396672.0	39396672.0	78781586.0	78776470.0	11758.0	76182940.0	78793344.0	439304.0	2436446.0	0.0	0.0	2285349.0	11176659138.0	5587297941.0	5589361197.0	11175247470.0	11138820654.0	0.0	60635345.0	46777813.0	0.00419953	142.0	142.0	142.0	151.0	151.0	151.0	38.9	215.7	102.0	32903940.0	5415395.0	717343.0	351557.0	96.7	99.98507741973738	99.97858448551187	0.014922580262617108	96.68702473142909	100.0	0.5575394794768451	3.0921977369052898	0.0
P33410_1009.md	78869410.0	0.0	78869410.0	1.0	39434705.0	39434705.0	78857719.0	78852988.0	11691.0	76330522.0	78869410.0	500803.0	2247096.0	0.0	0.0	2113115.0	11241868399.0	5619998752.0	5621869647.0	11240435149.0	11207529590.0	0.0	69687908.0	45238866.0	0.004036471	143.0	143.0	143.0	151.0	151.0	151.0	39.0	218.6	102.0	33238216.0	5158083.0	683170.0	347025.0	96.8	99.9851767624482	99.97917823906633	0.014823237551796063	96.78089642105856	100.0	0.6349774900053139	2.8491350448798842	0.0
P33410_1010.md	78853772.0	0.0	78853772.0	1.0	39426886.0	39426886.0	78840878.0	78835228.0	12894.0	76071298.0	78853772.0	485531.0	2430013.0	0.0	0.0	2383156.0	11232230304.0	5615074394.0	5617155910.0	11230651124.0	11193730116.0	0.0	67701617.0	46641871.0	0.004166786	142.0	142.0	142.0	151.0	151.0	151.0	38.9	220.7	106.1	33101111.0	5175078.0	774070.0	367355.0	96.5	99.98364821406388	99.97648305270673	0.016351785936124907	96.471349525296	100.0	0.6157359219290105	3.0816699548627806	0.0
P33410_1011.md	79005222.0	0.0	79005222.0	1.0	39502611.0	39502611.0	78989254.0	78981848.0	15968.0	76230116.0	79005222.0	881574.0	2674288.0	0.0	0.0	2528686.0	11198797872.0	5598334034.0	5600463838.0	11196792604.0	11147424084.0	0.0	121748870.0	46251171.0	0.004149046	142.0	142.0	142.0	151.0	151.0	151.0	39.0	215.9	104.6	32859031.0	5519533.0	779979.0	332381.0	96.5	99.97978867776614	99.97041461385933	0.02021132223386449	96.48743977961357	100.0	1.1158426970814663	3.384950934002818	0.0
