patient,sample,lane,fastq_1,fastq_2
Q_B2_cell_01,P33410_1001,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1001.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1001.R2.fastq.gz
Q_C2_cell_02,P33410_1002,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1002.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1002.R2.fastq.gz
Q_D2_cell_03,P33410_1003,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1003.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1003.R2.fastq.gz
Q_E2_cell_04,P33410_1004,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1004.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1004.R2.fastq.gz
Q_F2_cell_05,P33410_1005,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1005.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1005.R2.fastq.gz
Q_G2_cell_06,P33410_1006,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1006.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1006.R2.fastq.gz
Q_A3_cell_07,P33410_1008,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1008.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1008.R2.fastq.gz
Q_B3_cell_08,P33410_1009,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1009.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1009.R2.fastq.gz
Q_C3_cell_09,P33410_1010,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1010.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1010.R2.fastq.gz
Q_D3_cell_10,P33410_1011,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1011.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1011.R2.fastq.gz
Q_H3_10_cells,P33410_1012,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1012.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1012.R2.fastq.gz
B_A3_cell_01,P33410_1013,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1013.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1013.R2.fastq.gz
B_A4_cell_02,P33410_1014,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1014.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1014.R2.fastq.gz
B_B1_cell_03,P33410_1015,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1015.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1015.R2.fastq.gz
B_B2_cell_04,P33410_1016,L003,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1016.R1.fastq.gz,/proj/ngi2016004/private/pontus/GA_24_11_scWGS/data/P33410_downsampled/2M/P33410_1016.R2.fastq.gz
