Sample	0	1	2
P33410_1001.md	100.0	17.0	2.0
P33410_1002.md	100.0	16.0	2.0
P33410_1003.md	100.0	16.0	2.0
P33410_1004.md	100.0	16.0	2.0
P33410_1005.md	100.0	16.0	2.0
P33410_1006.md	100.0	16.0	2.0
P33410_1008.md	100.0	16.0	2.0
P33410_1009.md	100.0	17.0	1.0
P33410_1010.md	100.0	16.0	2.0
P33410_1011.md	100.0	15.0	2.0
P33410_1012.md	100.0	18.0	1.0
P33410_1013.md	100.0	17.0	
P33410_1014.md	100.0	17.0	1.0
P33410_1015.md	100.0	17.0	
P33410_1016.md	100.0	18.0	1.0
P33410_1017.md	100.0	17.0	
P33410_1018.md	100.0	17.0	
P33410_1019.md	100.0	17.0	1.0
P33410_1020.md	100.0	17.0	1.0
P33410_1021.md	100.0	17.0	
P33410_1022.md	100.0	17.0	1.0
P33410_1024.md	100.0	18.0	
