Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P33410_1001-L003_1	P33410_1001-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1997390.0	301.6 Mbp	0.0	151.0	42.0	99.10761263863249	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1001-L003_2	P33410_1001-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	1997390.0	301.6 Mbp	0.0	151.0	42.0	98.7344992749413	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1002-L003_1	P33410_1002-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1998237.0	301.7 Mbp	0.0	151.0	41.0	99.20531456148072	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1002-L003_2	P33410_1002-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	1998237.0	301.7 Mbp	0.0	151.0	42.0	98.85365478433025	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1003-L003_1	P33410_1003-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1999232.0	301.8 Mbp	0.0	151.0	41.0	99.09417580149164	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1003-L003_2	P33410_1003-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	1999232.0	301.8 Mbp	0.0	151.0	41.0	98.74832443835979	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1004-L003_1	P33410_1004-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1999301.0	301.8 Mbp	0.0	151.0	41.0	99.15760030804874	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1004-L003_2	P33410_1004-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	1999301.0	301.8 Mbp	0.0	151.0	42.0	98.82073672968592	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1005-L003_1	P33410_1005-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1998941.0	301.8 Mbp	0.0	151.0	41.0	99.146633844331	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1005-L003_2	P33410_1005-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	1998941.0	301.8 Mbp	0.0	151.0	41.0	98.83940072802748	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1006-L003_1	P33410_1006-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1998205.0	301.7 Mbp	0.0	151.0	42.0	99.22073332136632	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1006-L003_2	P33410_1006-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	1998205.0	301.7 Mbp	0.0	151.0	42.0	98.9306410465871	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1008-L003_1	P33410_1008-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1997255.0	301.5 Mbp	0.0	151.0	42.0	99.12975372517047	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1008-L003_2	P33410_1008-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	1997255.0	301.5 Mbp	0.0	151.0	42.0	98.69139567822837	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1009-L003_1	P33410_1009-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	1996992.0	301.5 Mbp	0.0	151.0	41.0	99.11129968561404	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
