Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
P33410_1001-L003.md	P33410_1001	256.0	1967512.0	112925.0	716.0	121.0	622.0	126.0	0.000347	3901166429.0
P33410_1002-L003.md	P33410_1002	213.0	1973052.0	118377.0	605.0	95.0	690.0	124.0	0.000374	3437897885.0
P33410_1003-L003.md	P33410_1003	277.0	1975097.0	120869.0	629.0	95.0	752.0	119.0	0.000405	3080335398.0
P33410_1004-L003.md	P33410_1004	273.0	1973446.0	128007.0	695.0	99.0	791.0	155.0	0.000426	3060566548.0
P33410_1005-L003.md	P33410_1005	249.0	1974695.0	121312.0	743.0	96.0	820.0	155.0	0.00044	2930776528.0
P33410_1006-L003.md	P33410_1006	257.0	1973062.0	120588.0	729.0	92.0	740.0	145.0	0.000398	3270267948.0
P33410_1008-L003.md	P33410_1008	251.0	1967239.0	113773.0	611.0	129.0	547.0	101.0	0.000311	4337496627.0
P33410_1009-L003.md	P33410_1009	216.0	1968442.0	105652.0	520.0	86.0	694.0	135.0	0.000374	3464668057.0
P33410_1010-L003.md	P33410_1010	291.0	1970492.0	118503.0	671.0	120.0	632.0	140.0	0.000351	3944756810.0
P33410_1011-L003.md	P33410_1011	376.0	1974634.0	127199.0	792.0	162.0	1133.0	211.0	0.000615	2113412405.0
P33410_1012-L003.md	P33410_1012	217.0	1975194.0	102114.0	599.0	92.0	1107.0	198.0	0.000584	2144891232.0
P33410_1013-L003.md	P33410_1013	581.0	1974745.0	170971.0	959.0	438.0	1126.0	385.0	0.000681	2629636986.0
P33410_1014-L003.md	P33410_1014	531.0	1975450.0	181153.0	955.0	373.0	1246.0	398.0	0.000725	2299359528.0
P33410_1015-L003.md	P33410_1015	575.0	1975247.0	177348.0	1009.0	434.0	1015.0	269.0	0.000624	2613643307.0
P33410_1016-L003.md	P33410_1016	718.0	1972276.0	187621.0	1172.0	540.0	1239.0	384.0	0.000765	2273236257.0
P33410_1017-L003.md	P33410_1017	821.0	1973639.0	183698.0	1203.0	697.0	944.0	297.0	0.000655	3008676534.0
P33410_1018-L003.md	P33410_1018	487.0	1976590.0	185057.0	835.0	369.0	1066.0	298.0	0.000633	2542134207.0
P33410_1019-L003.md	P33410_1019	529.0	1976063.0	194470.0	1041.0	397.0	1023.0	259.0	0.000618	2554185234.0
P33410_1020-L003.md	P33410_1020	997.0	1975462.0	193701.0	1475.0	878.0	1292.0	402.0	0.000876	2190837104.0
P33410_1021-L003.md	P33410_1021	618.0	1974381.0	184891.0	1026.0	431.0	1017.0	323.0	0.000624	2806910377.0
P33410_1022-L003.md	P33410_1022	546.0	1975137.0	181820.0	984.0	420.0	1115.0	314.0	0.000671	2433752344.0
P33410_1024-L003.md	P33410_1024	445.0	1976538.0	157202.0	739.0	349.0	1152.0	385.0	0.000671	2545091356.0
