Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P33410_1001.md	3935996.0	0.0	3935996.0	1.0	1967998.0	1967998.0	3935280.0	3935024.0	716.0	3802540.0	3935996.0	1365.0	121726.0	0.0	0.0	112925.0	562707053.0	281303928.0	281403125.0	562618699.0	560625832.0	0.0	192090.0	2337649.0	0.004169713	143.0	143.0	143.0	151.0	151.0	151.0	38.9	219.6	102.2	1664775.0	248691.0	36063.0	17983.0	96.6	99.98180892460256	99.97530485295208	0.018191075397434347	96.6093461477095	100.0	0.03467991329259481	3.092635256743147	0.0
P33410_1002.md	3946922.0	0.0	3946922.0	1.0	1973461.0	1973461.0	3946317.0	3946104.0	605.0	3810594.0	3946922.0	1475.0	119028.0	0.0	0.0	118377.0	563222040.0	281565539.0	281656501.0	563144848.0	561390226.0	0.0	202831.0	2308475.0	0.004112069	143.0	143.0	143.0	151.0	151.0	151.0	39.0	220.5	105.1	1661656.0	256294.0	38385.0	16717.0	96.5	99.98467159979346	99.97927498947281	0.01532840020654069	96.54596670519457	100.0	0.03737089306553309	3.015717057494422	0.0
P33410_1003.md	3951100.0	0.0	3951100.0	1.0	1975550.0	1975550.0	3950471.0	3950194.0	629.0	3814704.0	3951100.0	1599.0	120180.0	0.0	0.0	120869.0	561210798.0	280559600.0	280651198.0	561130568.0	559341423.0	0.0	221701.0	2269831.0	0.004058042	142.0	142.0	142.0	151.0	151.0	151.0	39.0	217.6	105.1	1650068.0	270324.0	37768.0	16937.0	96.5	99.98408038267824	99.97706967679886	0.0159196173217585	96.54789805370656	100.0	0.040469742603325656	3.041684594163651	0.0
P33410_1004.md	3947860.0	0.0	3947860.0	1.0	1973930.0	1973930.0	3947165.0	3946892.0	695.0	3810766.0	3947860.0	1681.0	126931.0	0.0	0.0	128007.0	559943500.0	279923230.0	280020270.0	559853153.0	557675220.0	0.0	232792.0	2339937.0	0.004195878	142.0	142.0	142.0	151.0	151.0	151.0	39.0	214.6	102.4	1642708.0	275830.0	37910.0	16998.0	96.5	99.9823955256772	99.97548038684249	0.01760447432279767	96.52738445638903	100.0	0.0425800307001768	3.215184935636015	0.0
P33410_1005.md	3950382.0	0.0	3950382.0	1.0	1975191.0	1975191.0	3949639.0	3949390.0	743.0	3815156.0	3950382.0	1736.0	121032.0	0.0	0.0	121312.0	561840203.0	280877641.0	280962562.0	561741991.0	559752732.0	0.0	244138.0	2372645.0	0.004238738	142.0	142.0	142.0	151.0	151.0	151.0	38.9	217.2	103.8	1653473.0	267124.0	37610.0	16488.0	96.6	99.98119169234772	99.9748885044535	0.018808307652272618	96.57688800728639	100.0	0.04394511720638662	3.063804968734669	0.0
P33410_1006.md	3947110.0	0.0	3947110.0	1.0	1973555.0	1973555.0	3946381.0	3946124.0	729.0	3814906.0	3947110.0	1572.0	128940.0	0.0	0.0	120588.0	560335341.0	280123771.0	280211570.0	560239195.0	558191077.0	0.0	218687.0	2312779.0	0.004143346	142.0	142.0	142.0	151.0	151.0	151.0	39.0	214.7	101.9	1645333.0	274813.0	37187.0	15729.0	96.7	99.98153079088245	99.97501969795623	0.018469209117556895	96.65061272677985	100.0	0.039826607315225575	3.2666938595580057	0.0
P33410_1008.md	3935340.0	0.0	3935340.0	1.0	1967670.0	1967670.0	3934729.0	3934478.0	611.0	3805642.0	3935340.0	1223.0	122276.0	0.0	0.0	113773.0	558124063.0	279010284.0	279113779.0	558050653.0	556216767.0	0.0	171288.0	2333553.0	0.004195402	142.0	142.0	142.0	151.0	151.0	151.0	38.9	215.6	101.9	1643460.0	270832.0	35582.0	17365.0	96.7	99.98447402257491	99.97809592055579	0.01552597742507636	96.70427459889108	100.0	0.03107736561516921	3.1071267031565255	0.0
P33410_1009.md	3937620.0	0.0	3937620.0	1.0	1968810.0	1968810.0	3937100.0	3936884.0	520.0	3811120.0	3937620.0	1474.0	112818.0	0.0	0.0	105652.0	561293961.0	280601083.0	280692878.0	561229140.0	559580967.0	0.0	207944.0	2256810.0	0.004033036	143.0	143.0	143.0	151.0	151.0	151.0	39.0	218.7	102.0	1659253.0	257824.0	33978.0	17387.0	96.8	99.9867940532606	99.98130850615347	0.013205946739400959	96.78739949512651	100.0	0.03743377979591733	2.8651317293187253	0.0
P33410_1010.md	3941946.0	0.0	3941946.0	1.0	1970973.0	1970973.0	3941275.0	3940984.0	671.0	3803138.0	3941946.0	1384.0	121259.0	0.0	0.0	118503.0	561532574.0	280715276.0	280817298.0	561449475.0	559578633.0	0.0	194536.0	2324226.0	0.004153529	142.0	142.0	142.0	151.0	151.0	151.0	38.9	220.7	106.0	1655374.0	258294.0	38579.0	18245.0	96.5	99.98297795048435	99.97559580978532	0.017022049515645316	96.47869351837899	100.0	0.035109562637336986	3.076120271561305	0.0
P33410_1011.md	3950436.0	0.0	3950436.0	1.0	1975218.0	1975218.0	3949644.0	3949268.0	792.0	3810974.0	3950436.0	2428.0	133382.0	0.0	0.0	127199.0	559999427.0	279948739.0	280050688.0	559900417.0	557443431.0	0.0	339932.0	2311924.0	0.004147369	142.0	142.0	142.0	151.0	151.0	151.0	39.0	216.0	104.9	1643355.0	275556.0	39273.0	16450.0	96.5	99.97995158002813	99.97043364327381	0.02004841997187146	96.46970612863997	100.0	0.061461570317807954	3.3763868089496953	0.0
