Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_adapter	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage
P33410_1001-L003							3.17199	0.946316	63366582356.0	468408502.0	0.414577	98.52190835912509	23.928942847140608														
P33410_1001-L003.md														0.033415													
P33410_1001-L003_1	9.611724745758721	42.0	151.0	151	18.181818181818183	237717940.0																					
P33410_1001-L003_2	10.497834706042468	42.0	151.0	151	18.181818181818183	237717940.0																					
P33410_1001.md															0.004166826	0.0	468324570.0	99.98208145248397	96.59928119750482	3.0985688641492675	468408502.0	88.0	69.0	54.0	23.0	11.0	11
P33410_1002-L003							2.54875	0.947278	49406816493.0	365519942.0	0.41329	98.7575646869176	24.45644181171592														
P33410_1002-L003.md														0.031856													
P33410_1002-L003_1	8.658547205807722	41.0	151.0	151	18.181818181818183	185059212.0																					
P33410_1002-L003_2	9.293893119785395	42.0	151.0	151	18.181818181818183	185059212.0																					
P33410_1002.md															0.004127328	0.0	365466955.0	99.98550366370982	96.52212026231936	3.015016346221679	365519942.0	84.0	60.0	44.0	17.0	8.0	8
P33410_1003-L003							2.2812200000000002	0.94776	43950647120.0	326453548.0	0.410568	98.82443699154064	25.872542787882473														
P33410_1003-L003.md														0.030588													
P33410_1003-L003_1	9.119942124630938	41.0	151.0	151	18.181818181818183	165168433.0																					
P33410_1003-L003_2	9.627956148247037	41.0	151.0	151	18.181818181818183	165168433.0																					
P33410_1003.md															0.004054515	0.0	326401789.0	99.98414506433852	96.56215774992894	3.039376370937773	326453548.0	79.0	53.0	39.0	15.0	7.000000000000001	5
P33410_1004-L003							2.3815	0.948256	44872442646.0	333618686.0	0.412485	98.72397239131602	26.28275650158599														
P33410_1004-L003.md														0.033827													
P33410_1004-L003_1	8.467572024352336	41.0	151.0	151	18.181818181818183	168965388.0																					
P33410_1004-L003_2	9.09879224138355	42.0	151.0	151	18.181818181818183	168965388.0																					
P33410_1004.md															0.004194759	0.0	333555505.0	99.98106191210165	96.51571315163085	3.196954921164098	333618686.0	84.0	59.0	43.0	15.0	6.0	7
P33410_1005-L003							1.95548	0.946249	36822300682.0	273589718.0	0.411292	98.81574914673583	25.536574513472342														
P33410_1005-L003.md														0.028078													
P33410_1005-L003_1	7.395888428398393	41.0	151.0	151	18.181818181818183	138434268.0																					
P33410_1005-L003_2	7.9493271770083	41.0	151.0	151	18.181818181818183	138434268.0																					
P33410_1005.md															0.004234238	0.0	273538967.0	99.98144996077667	96.59023443271359	3.056975993520341	273589718.0	83.0	55.00000000000001	38.0	11.0	4.0	6
P33410_1006-L003							2.5289099999999998	0.948018	49273575041.0	366146662.0	0.414677	98.77230636347039	26.329802850081936														
P33410_1006-L003.md														0.032465													
P33410_1006-L003_1	9.174127531195154	42.0	151.0	151	18.181818181818183	185348847.0																					
P33410_1006-L003_2	9.891845196407019	42.0	151.0	151	18.181818181818183	185348847.0																					
P33410_1006.md															0.004147474	0.0	366076118.0	99.98073340349065	96.6624532548654	3.2389646638373555	366146662.0	78.0	56.00000000000001	42.0	18.0	8.0	6
P33410_1008-L003							3.09404	0.944947	61677486957.0	460141482.0	0.415797	98.50797991491828	26.012970753602886														
P33410_1008-L003.md														0.03198													
P33410_1008-L003_1	9.573014434550458	42.0	151.0	151	18.181818181818183	233555435.0																					
P33410_1008-L003_2	10.377826775058523	42.0	151.0	151	18.181818181818183	233555435.0																					
P33410_1008.md															0.004200452	0.0	460072690.0	99.98504981561301	96.69302842815637	3.0931421218832864	460141482.0	87.0	67.0	52.0	23.0	11.0	11
P33410_1009-L003							2.89314	0.94741	56367981339.0	417414074.0	0.412704	98.59102538913905	24.82772224368734														
P33410_1009-L003.md														0.032801													
P33410_1009-L003_1	7.9114184810989485	41.0	151.0	151	18.181818181818183	211689691.0																					
P33410_1009-L003_2	8.491387153715095	42.0	151.0	151	18.181818181818183	211689691.0																					
P33410_1009.md															0.004034135	0.0	417351989.0	99.98512628014551	96.78463884281966	2.8494264426742832	417414074.0	90.0	74.0	56.99999999999999	20.0	8.0	12
P33410_1010-L003							2.4240500000000003	0.945685	46484015119.0	345075908.0	0.418791	98.57388734076548	24.787657136918057														
P33410_1010-L003.md														0.026451													
P33410_1010-L003_1	7.9589059969144955	42.0	151.0	151	18.181818181818183	175034138.0																					
P33410_1010-L003_2	8.735375746635583	42.0	151.0	151	18.181818181818183	175034138.0																					
P33410_1010.md															0.00416686	0.0	345019038.0	99.98351956810616	96.47329305875506	3.081990006674126	345075908.0	86.0	63.0	46.0	16.0	6.0	8
P33410_1011-L003							1.7185	0.948701	29349762069.0	218252256.0	0.414874	98.7631380880112	26.340765768287227														
P33410_1011-L003.md														0.030411													
P33410_1011-L003_1	7.676573295653398	42.0	151.0	151	18.181818181818183	110492771.0																					
P33410_1011-L003_2	8.191515944927929	42.0	151.0	151	18.181818181818183	110492771.0																					
P33410_1011.md															0.004149452	0.0	218208540.0	99.97996996649601	96.48968027162111	3.3888918884760573	218252256.0	72.0	44.0	28.999999999999996	9.0	3.0	3
P33410_1012-L003							1.4853399999999999	0.946066	26203327440.0	193925014.0	0.416928	98.77347017668922	24.29537784810995														
P33410_1012-L003.md														0.028114													
P33410_1012-L003_1	4.2425399535917165	42.0	151.0	151	18.181818181818183	98166549.0																					
P33410_1012-L003_2	4.713846773995684	42.0	151.0	151	18.181818181818183	98166549.0																					
P33410_1012.md															0.004195173	0.0	193896009.0	99.9850431878788	96.88813532843163	3.1299391836062984	193925014.0	93.0	75.0	38.0	1.0	0	8
