Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
P33410_1001-L003.md	P33410_1001	33408.0	234145581.0	13472273.0	83932.0	23562.0	7812784.0	1484130.0	0.033415	4198776886.0
P33410_1002-L003.md	P33410_1002	21631.0	182722662.0	11024139.0	52987.0	13956.0	5814142.0	1137907.0	0.031856	3464803517.0
P33410_1003-L003.md	P33410_1003	20053.0	163190868.0	9971700.0	51759.0	12961.0	4985563.0	906091.0	0.030588	3173586807.0
P33410_1004-L003.md	P33410_1004	24283.0	166765611.0	10788113.0	63181.0	16516.0	5633416.0	1070282.0	0.033827	2952853659.0
P33410_1005-L003.md	P33410_1005	18481.0	136760243.0	8412879.0	50751.0	11855.0	3834311.0	725083.0	0.028078	2930389970.0
P33410_1006-L003.md	P33410_1006	24416.0	183025851.0	11182962.0	70544.0	16074.0	5934203.0	1055091.0	0.032465	3332447593.0
P33410_1008-L003.md	P33410_1008	29882.0	230021404.0	13359048.0	68792.0	20779.0	7346272.0	1366531.0	0.03198	4295126681.0
P33410_1009-L003.md	P33410_1009	24899.0	208663545.0	11183448.0	62085.0	15924.0	6836875.0	1382131.0	0.032801	3868967388.0
P33410_1010-L003.md	P33410_1010	24756.0	172497141.0	10429955.0	56870.0	16446.0	4554857.0	1020566.0	0.026451	4102489058.0
P33410_1011-L003.md	P33410_1011	20272.0	109094134.0	6988008.0	43716.0	14331.0	3310783.0	632260.0	0.030411	2159677526.0
P33410_1012-L003.md	P33410_1012	10509.0	96942750.0	5045075.0	29005.0	5468.0	2722863.0	521666.0	0.028114	2079547147.0
