Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P33410_1001.md	468408502.0	0.0	468408502.0	1.0	234204251.0	234204251.0	468324570.0	468291162.0	83932.0	452479246.0	468408502.0	15649130.0	14513960.0	0.0	0.0	13472273.0	66961313781.0	33474838543.0	33486475238.0	66950718003.0	66711830727.0	0.0	2183229684.0	277976598.0	0.004166826	143.0	143.0	143.0	151.0	151.0	151.0	38.9	219.6	102.2	197975340.0	29713624.0	4294743.0	2161874.0	96.6	99.98208145248397	99.9749492164427	0.01791854751603121	96.59928119750482	100.0	3.340915020368268	3.0985688641492675	0.0
P33410_1002.md	365519942.0	0.0	365519942.0	1.0	182759971.0	182759971.0	365466955.0	365445324.0	52987.0	352807598.0	365519942.0	11642240.0	11020486.0	0.0	0.0	11024139.0	52156637651.0	26074139003.0	26082498648.0	52149957886.0	51986371957.0	0.0	1619089370.0	214564806.0	0.004127328	143.0	143.0	143.0	151.0	151.0	151.0	38.9	220.6	105.4	153891585.0	23691785.0	3581415.0	1557877.0	96.5	99.98550366370982	99.9795857923396	0.014496336290182493	96.52212026231936	100.0	3.185117598864141	3.015016346221679	0.0
P33410_1003.md	326453548.0	0.0	326453548.0	1.0	163226774.0	163226774.0	326401789.0	326381736.0	51759.0	315230590.0	326453548.0	9984087.0	9922152.0	0.0	0.0	9971700.0	46373184194.0	23182827294.0	23190356900.0	46366556252.0	46217991744.0	0.0	1379255251.0	187391521.0	0.004054515	142.0	142.0	142.0	151.0	151.0	151.0	39.0	217.5	105.0	136343380.0	22350510.0	3107371.0	1389607.0	96.6	99.98414506433852	99.978002383359	0.015854935661474265	96.56215774992894	100.0	3.0583484422720995	3.039376370937773	0.0
P33410_1004.md	333618686.0	0.0	333618686.0	1.0	166809343.0	166809343.0	333555505.0	333531222.0	63181.0	321994454.0	333618686.0	11283348.0	10665639.0	0.0	0.0	10788113.0	47321006773.0	23656534091.0	23664472682.0	47312840944.0	47129052482.0	0.0	1558451034.0	197695001.0	0.004194759	142.0	142.0	142.0	151.0	151.0	151.0	39.0	214.6	102.5	138816367.0	23290729.0	3218833.0	1439682.0	96.5	99.98106191210165	99.9737832430645	0.018938087898349915	96.51571315163085	100.0	3.382109118432293	3.196954921164098	0.0
P33410_1005.md	273589718.0	0.0	273589718.0	1.0	136794859.0	136794859.0	273538967.0	273520486.0	50751.0	264260950.0	273589718.0	7680477.0	8363572.0	0.0	0.0	8412879.0	38913944940.0	19453908759.0	19460036181.0	38907297950.0	38770445128.0	0.0	1064074317.0	164163302.0	0.004234238	142.0	142.0	142.0	151.0	151.0	151.0	38.9	217.3	103.6	114547810.0	18468067.0	2606950.0	1137416.0	96.6	99.98144996077667	99.97469495545882	0.018550039223330754	96.59023443271359	100.0	2.8072973853498397	3.056975993520341	0.0
P33410_1006.md	366146662.0	0.0	366146662.0	1.0	183073331.0	183073331.0	366076118.0	366051702.0	70544.0	353926346.0	366146662.0	11884480.0	11859361.0	0.0	0.0	11182962.0	51975379531.0	25983541901.0	25991837630.0	51966065762.0	51776203776.0	0.0	1640034545.0	214740487.0	0.004147474	142.0	142.0	142.0	151.0	151.0	151.0	39.0	214.8	102.0	152624515.0	25501909.0	3444516.0	1454911.0	96.7	99.98073340349065	99.97406503735927	0.019266596509351766	96.6624532548654	100.0	3.2458250295342035	3.2389646638373555	0.0
P33410_1008.md	460141482.0	0.0	460141482.0	1.0	230070741.0	230070741.0	460072690.0	460042808.0	68792.0	444924734.0	460141482.0	14713323.0	14232830.0	0.0	0.0	13359048.0	65270823952.0	32629366065.0	32641457887.0	65262572226.0	65049800319.0	0.0	2027999625.0	273238594.0	0.004200452	142.0	142.0	142.0	151.0	151.0	151.0	38.9	215.8	102.0	192176300.0	31607550.0	4188538.0	2049016.0	96.7	99.98504981561301	99.9785557260408	0.014950184386983829	96.69302842815637	100.0	3.197565004582656	3.0931421218832864	0.0
P33410_1009.md	417414074.0	0.0	417414074.0	1.0	208707037.0	208707037.0	417351989.0	417327090.0	62085.0	403992704.0	417414074.0	13689674.0	11893907.0	0.0	0.0	11183448.0	59496905179.0	29743460976.0	29753444203.0	59489275214.0	59315004391.0	0.0	1902506813.0	239284696.0	0.004034135	143.0	143.0	143.0	151.0	151.0	151.0	39.0	218.6	102.0	175914637.0	27295800.0	3614290.0	1838818.0	96.8	99.98512628014551	99.97916122013652	0.014873719854496328	96.78463884281966	100.0	3.2796388173533413	2.8494264426742832	0.0
P33410_1010.md	345075908.0	0.0	345075908.0	1.0	172537954.0	172537954.0	345019038.0	344994282.0	56870.0	332906092.0	345075908.0	9126160.0	10635205.0	0.0	0.0	10429955.0	49153786595.0	24572312508.0	24581474087.0	49146871627.0	48985106831.0	0.0	1271070471.0	204114080.0	0.00416686	142.0	142.0	142.0	151.0	151.0	151.0	38.9	220.8	106.2	144864576.0	22635835.0	3388337.0	1608393.0	96.5	99.98351956810616	99.97634549439482	0.016480431893842906	96.47329305875506	100.0	2.6446818767770943	3.081990006674126	0.0
P33410_1011.md	218252256.0	0.0	218252256.0	1.0	109126128.0	109126128.0	218208540.0	218188268.0	43716.0	210590904.0	218252256.0	6635897.0	7396333.0	0.0	0.0	6988008.0	30936783644.0	15465472510.0	15471311134.0	30931289093.0	30795046660.0	0.0	915786901.0	127782566.0	0.004149452	142.0	142.0	142.0	151.0	151.0	151.0	39.0	215.9	104.7	90780815.0	15239284.0	2155574.0	918461.0	96.5	99.97996996649601	99.97068163180866	0.020030033503983573	96.48968027162111	100.0	3.04047120594254	3.3888918884760573	0.0
P33410_1012.md	193925014.0	0.0	193925014.0	1.0	96962507.0	96962507.0	193896009.0	193885500.0	29005.0	187890330.0	193925014.0	5451194.0	6069735.0	0.0	0.0	5045075.0	27697146989.0	13846324870.0	13850822119.0	27693490824.0	27613794367.0	0.0	760048037.0	115844653.0	0.004195173	143.0	143.0	143.0	151.0	151.0	151.0	38.9	218.4	99.9	82112663.0	12373743.0	1634778.0	821566.0	96.9	99.9850431878788	99.97962408294579	0.014956812121204748	96.88813532843163	100.0	2.8109803307787824	3.1299391836062984	0.0
