Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY	chrM	chr1_KI270706v1_random	chr1_KI270707v1_random	chr1_KI270708v1_random	chr1_KI270709v1_random	chr1_KI270710v1_random	chr1_KI270711v1_random	chr1_KI270712v1_random	chr1_KI270713v1_random	chr1_KI270714v1_random	chr2_KI270715v1_random	chr2_KI270716v1_random	chr3_GL000221v1_random	chr4_GL000008v2_random	chr5_GL000208v1_random	chr9_KI270717v1_random	chr9_KI270718v1_random	chr9_KI270719v1_random	chr9_KI270720v1_random	chr11_KI270721v1_random	chr14_GL000009v2_random	chr14_GL000225v1_random	chr14_KI270722v1_random	chr14_GL000194v1_random	chr14_KI270723v1_random	chr14_KI270724v1_random	chr14_KI270725v1_random	chr15_KI270727v1_random	chr16_KI270728v1_random	chr17_GL000205v2_random	chr17_KI270729v1_random	chr17_KI270730v1_random	chr22_KI270731v1_random	chr22_KI270732v1_random	chr22_KI270733v1_random	chr22_KI270734v1_random	chr22_KI270735v1_random	chr22_KI270736v1_random	chr22_KI270737v1_random	chr22_KI270738v1_random	chr22_KI270739v1_random	chrUn_KI270304v1	chrUn_KI270303v1	chrUn_KI270310v1	chrUn_KI270311v1	chrUn_KI270412v1	chrUn_KI270417v1	chrUn_KI270429v1	chrUn_KI270442v1	chrUn_KI270466v1	chrUn_KI270467v1	chrUn_KI270435v1	chrUn_KI270438v1	chrUn_KI270510v1	chrUn_KI270518v1	chrUn_KI270508v1	chrUn_KI270512v1	chrUn_KI270519v1	chrUn_KI270515v1	chrUn_KI270517v1	chrUn_KI270530v1	chrUn_KI270538v1	chrUn_KI270583v1	chrUn_KI270587v1	chrUn_KI270580v1	chrUn_KI270581v1	chrUn_KI270579v1	chrUn_KI270589v1	chrUn_KI270590v1	chrUn_KI270582v1	chrUn_KI270588v1	chrUn_KI270591v1	chrUn_KI270330v1	chrUn_KI270340v1	chrUn_KI270364v1	chrUn_KI270362v1	chrUn_KI270366v1	chrUn_KI270379v1	chrUn_KI270396v1	chrUn_KI270382v1	chrUn_KI270374v1	chrUn_KI270448v1	chrUn_KI270521v1	chrUn_GL000195v1	chrUn_GL000219v1	chrUn_GL000220v1	chrUn_GL000224v1	chrUn_KI270741v1	chrUn_GL000226v1	chrUn_GL000213v1	chrUn_KI270743v1	chrUn_KI270744v1	chrUn_KI270745v1	chrUn_KI270746v1	chrUn_KI270747v1	chrUn_KI270748v1	chrUn_KI270749v1	chrUn_KI270750v1	chrUn_KI270751v1	chrUn_KI270752v1	chrUn_KI270754v1	chrUn_KI270755v1	chrUn_KI270756v1	chrUn_KI270757v1	chrUn_GL000214v1	chrUn_KI270742v1	chrUn_GL000216v2	chrUn_GL000218v1	chr14_KI270726v1_random	chrUn_KI270320v1	chrUn_KI270316v1	chrUn_KI270315v1	chrUn_KI270312v1	chrUn_KI270317v1	chrUn_KI270411v1	chrUn_KI270414v1	chrUn_KI270420v1	chrUn_KI270424v1	chrUn_KI270423v1	chrUn_KI270509v1	chrUn_KI270511v1	chrUn_KI270507v1	chrUn_KI270584v1	chrUn_KI270329v1	chrUn_KI270333v1	chrUn_KI270337v1	chrUn_KI270363v1	chrUn_KI270373v1	chrUn_KI270753v1	chrUn_KI270322v1	chrUn_KI270465v1	chrUn_KI270468v1	chrUn_KI270516v1	chrUn_KI270522v1	chrUn_KI270528v1	chrUn_KI270336v1	chrUn_KI270383v1	chrUn_KI270393v1	chrUn_KI270384v1	chrUn_KI270371v1	chrUn_KI270419v1	chrUn_KI270418v1	chrUn_KI270395v1	chrUn_KI270394v1	chrUn_KI270375v1	chrUn_KI270425v1	chrUn_KI270372v1	chrUn_KI270305v1	chrUn_KI270378v1	chrUn_KI270388v1	chrUn_KI270544v1	chrUn_KI270593v1	chrEBV	chrUn_KI270529v1	chrUn_KI270302v1	chrUn_KI270335v1	chrUn_KI270338v1	chrUn_KI270387v1	chrUn_KI270539v1	chrUn_KI270392v1	chrUn_KI270548v1	chrUn_KI270334v1	chrUn_KI270376v1
P33410_1001.md	0.20999999999999996	0.17999999999999994	0.24	0.18999999999999995	0.21999999999999997	0.1299999999999999	0.21999999999999997	0.19999999999999996	0.17999999999999994	0.18999999999999995	0.21999999999999997	0.18999999999999995	0.1100000000000001	0.10000000000000009	0.18999999999999995	0.15999999999999992	0.18999999999999995	0.20999999999999996	0.19999999999999996	0.18999999999999995	0.18999999999999995	0.1299999999999999	0.1299999999999999	0.0	19.54	0.29000000000000004	0.47	0.24	0.19999999999999996	0.32000000000000006	1.4	0.050000000000000044	0.1100000000000001	0.1499999999999999	0.0	0.010000000000000009	0.19999999999999996	0.16999999999999993	0.26	0.14000000000000012	0.81	0.14000000000000012	0.52	0.020000000000000018	0.55	0.5800000000000001	0.5	0.26	0.06000000000000005	0.07000000000000006	0.1200000000000001	0.10000000000000009	0.15999999999999992	0.32000000000000006	0.030000000000000027	0.030000000000000027	0.24	0.52	0.53	0.17999999999999994	0.27	0.010000000000000009	0.030000000000000027	0.040000000000000036	0.020000000000000018		0.25	0.0				0.33000000000000007	0.25	0.33000000000000007	0.75	0.15999999999999992	0.06000000000000005	0.19999999999999996	0.19999999999999996	0.25	0.040000000000000036	0.1299999999999999	0.08000000000000007			0.18999999999999995	1.33	0.0	0.75	0.27	0.050000000000000044	0.07000000000000006	0.30000000000000004	0.3599999999999999	0.54	0.9099999999999999	4.5		0.16999999999999993	0.1200000000000001	0.06000000000000005				0.16999999999999993	0.1200000000000001	0.0	0.22999999999999998	0.15999999999999992	0.5700000000000001	1.42	0.010000000000000009	0.54	0.06000000000000005	0.19999999999999996	0.28	0.1200000000000001	0.30000000000000004	0.020000000000000018	0.19999999999999996	0.14000000000000012	0.1200000000000001	0.32000000000000006		0.27	0.010000000000000009	0.0	0.28	0.44999999999999996	0.3599999999999999	0.30000000000000004	0.4099999999999999	0.0		0.33000000000000007			0.0						0.19999999999999996	0.0		0.30000000000000004			0.33000000000000007	0.0		0.1299999999999999		0.0	0.1100000000000001								0.0		0.19999999999999996			0.0										0.19999999999999996								
P33410_1002.md	0.20999999999999996	0.27	0.24	0.15999999999999992	0.22999999999999998	0.15999999999999992	0.30000000000000004	0.17999999999999994	0.1200000000000001	0.1499999999999999	0.14000000000000012	0.14000000000000012	0.09000000000000008	0.10000000000000009	0.20999999999999996	0.1100000000000001	0.17999999999999994	0.1499999999999999	0.17999999999999994	0.20999999999999996	0.1499999999999999	0.1200000000000001	0.17999999999999994	0.0	2.3	0.19999999999999996	0.14000000000000012	0.3700000000000001	0.3700000000000001	0.4099999999999999	1.31	0.15999999999999992	0.29000000000000004	0.1399999999999999	0.010000000000000009	0.010000000000000009	0.43999999999999995	0.20999999999999996	0.08000000000000007	0.09000000000000008	0.26	0.1299999999999999	0.3799999999999999	0.040000000000000036	0.3700000000000001	0.6600000000000001	0.33999999999999986	0.25	0.47	0.41000000000000014	0.06000000000000005	0.1200000000000001	0.07000000000000006	0.18999999999999995	0.030000000000000027	0.0	0.19999999999999996	0.24	0.48	0.1100000000000001	0.22999999999999998	0.020000000000000018	0.020000000000000018	0.040000000000000036	0.030000000000000027	0.0		0.0				0.33000000000000007	0.31000000000000005	0.6600000000000001	0.8599999999999999	0.20999999999999996	0.1100000000000001	0.19999999999999996		0.75	0.19999999999999996	0.1299999999999999	0.31000000000000005	0.14000000000000012		0.29000000000000004	0.33000000000000007	0.16999999999999993	0.5	0.07000000000000006	0.030000000000000027	0.030000000000000027	0.30000000000000004	0.29000000000000004	0.54	0.8300000000000001	4.0		0.33000000000000007		0.0				0.0	0.1200000000000001		0.28	0.07000000000000006	0.3999999999999999	0.71	0.010000000000000009	1.0	0.040000000000000036	0.24	0.53	0.19999999999999996	0.24	0.010000000000000009	0.1100000000000001	0.20999999999999996	0.09000000000000008	0.51		0.1399999999999999		0.010000000000000009	0.09000000000000008	0.56	0.6000000000000001	0.32000000000000006	0.42999999999999994	0.010000000000000009	0.1100000000000001	0.33000000000000007	0.0	0.0	0.0	0.0	0.19999999999999996	0.3999999999999999	0.0	0.5	0.3999999999999999	0.17999999999999994	0.17999999999999994	0.10000000000000009	0.33000000000000007	0.16999999999999993	0.6600000000000001	0.75	0.33000000000000007	0.06000000000000005																																		
P33410_1003.md	0.18999999999999995	0.29000000000000004	0.26	0.28	0.15999999999999992	0.18999999999999995	0.24	0.10000000000000009	0.22999999999999998	0.17999999999999994	0.10000000000000009	0.16999999999999993	0.040000000000000036	0.1200000000000001	0.1299999999999999	0.17999999999999994	0.21999999999999997	0.15999999999999992	0.22999999999999998	0.08000000000000007	0.15999999999999992	0.10000000000000009	0.15999999999999992	0.0	11.04	0.44999999999999996	0.77	0.1100000000000001	0.16999999999999993	0.17999999999999994	0.75	0.1299999999999999	0.6099999999999999	0.06000000000000005	0.0	0.010000000000000009	0.5699999999999998	0.26	0.32000000000000006	0.1200000000000001	0.3700000000000001	0.1200000000000001	0.3799999999999999	0.010000000000000009	0.22999999999999998	0.6200000000000001	0.3700000000000001	0.15999999999999992	0.010000000000000009	0.050000000000000044	0.050000000000000044	0.08000000000000007	0.20999999999999996	0.1299999999999999	0.020000000000000018	0.010000000000000009	0.1100000000000001	0.32000000000000006	0.41999999999999993	0.1200000000000001	0.050000000000000044	0.0	0.030000000000000027	0.08000000000000007	0.030000000000000027	0.0	0.25	0.33000000000000007	0.040000000000000036	0.0	0.3999999999999999	1.0	0.1200000000000001	0.33000000000000007	0.25	0.1299999999999999	0.10000000000000009	0.19999999999999996	0.19999999999999996	0.5	0.020000000000000018	0.050000000000000044	0.08000000000000007	0.0	0.0	0.1100000000000001	0.0	0.16999999999999993	0.0	0.27	0.0	0.16999999999999993	0.30000000000000004	0.07000000000000006	0.22999999999999998	0.8400000000000001	1.0	0.33000000000000007	0.16999999999999993	0.0	0.1200000000000001	0.33000000000000007	0.25	0.0	0.0	0.0	0.1200000000000001	0.1299999999999999	0.050000000000000044	0.3400000000000001	0.49	0.010000000000000009	0.8700000000000001	0.040000000000000036	0.1299999999999999	0.3999999999999999	0.10000000000000009	0.31000000000000005	0.040000000000000036	0.21999999999999997	0.17999999999999994	0.07000000000000006	0.32000000000000006	0.0	0.020000000000000018	0.010000000000000009	0.010000000000000009	0.17999999999999994	0.3900000000000001	0.6599999999999999	0.33000000000000007	0.18999999999999995																																																							
P33410_1004.md	0.19999999999999996	0.19999999999999996	0.20999999999999996	0.18999999999999995	0.20999999999999996	0.14000000000000012	0.28	0.14000000000000012	0.1499999999999999	0.20999999999999996	0.17999999999999994	0.1499999999999999	0.14000000000000012	0.09000000000000008	0.17999999999999994	0.16999999999999993	0.17999999999999994	0.21999999999999997	0.20999999999999996	0.24	0.16999999999999993	0.1299999999999999	0.1299999999999999	0.0	8.14	0.15999999999999992	0.25	0.48	0.22999999999999998	0.5899999999999999	2.37	0.1100000000000001	0.22999999999999998	0.1200000000000001	0.0	0.020000000000000018	0.29000000000000004	0.33000000000000007	0.14000000000000012	0.050000000000000044	0.6000000000000001	0.20999999999999996	0.53	0.020000000000000018	0.41999999999999993	0.79	0.31999999999999984	0.33000000000000007	0.45999999999999996	0.3700000000000001	0.1299999999999999	0.1299999999999999	0.1299999999999999	0.22999999999999998	0.030000000000000027	0.030000000000000027	0.27	0.6200000000000001	0.6699999999999999	0.25	0.20999999999999996	0.020000000000000018	0.06000000000000005	0.1200000000000001	0.09000000000000008	0.0		0.0		0.33000000000000007		0.33000000000000007	0.28	1.0	1.62	0.4099999999999999	0.1200000000000001	0.8	1.0	1.5	0.040000000000000036	0.09000000000000008	0.0	0.29000000000000004	0.19999999999999996	0.21999999999999997		0.16999999999999993		0.1299999999999999	0.030000000000000027	0.07000000000000006	0.10000000000000009	0.07000000000000006	0.08000000000000007	0.8400000000000001	3.75		0.0		0.0				0.0	0.31000000000000005	0.0	0.26	0.16999999999999993	0.73	0.8300000000000001	0.0	0.77	0.1299999999999999	0.27	0.33000000000000007	0.1299999999999999	0.71	0.030000000000000027	0.16999999999999993	0.42999999999999994	0.4099999999999999	0.41999999999999993	0.0	0.44999999999999996		0.0	0.1499999999999999	0.52	0.3999999999999999	0.41000000000000014	0.5700000000000001	0.010000000000000009	0.1100000000000001			0.5		0.0					0.0	0.1200000000000001	0.17999999999999994	0.5		0.16999999999999993		0.0	0.6699999999999999	0.020000000000000018	0.020000000000000018		0.1100000000000001		0.0		0.0				0.0			0.33000000000000007		0.0							0.0			0.19999999999999996								
P33410_1005.md	0.1499999999999999	0.20999999999999996	0.20999999999999996	0.1499999999999999	0.25	0.20999999999999996	0.19999999999999996	0.21999999999999997	0.17999999999999994	0.21999999999999997	0.26	0.14000000000000012	0.1299999999999999	0.10000000000000009	0.06000000000000005	0.16999999999999993	0.1499999999999999	0.22999999999999998	0.22999999999999998	0.17999999999999994	0.18999999999999995	0.1299999999999999	0.14000000000000012	0.0	18.1	0.26	0.24	0.1299999999999999	0.33000000000000007	0.22999999999999998	0.79	0.1499999999999999	0.22999999999999998	0.1299999999999999	0.0	0.010000000000000009	0.3599999999999999	0.17999999999999994	0.20999999999999996	0.1100000000000001	0.3700000000000001	0.18999999999999995	0.1200000000000001	0.040000000000000036	0.29000000000000004	0.5800000000000001	0.29000000000000004	0.20999999999999996	0.43999999999999995	0.1299999999999999	0.1499999999999999	0.06000000000000005	0.14000000000000012	0.21999999999999997	0.040000000000000036	0.030000000000000027	0.1100000000000001	0.28	0.48	0.07000000000000006	0.31999999999999984	0.010000000000000009	0.030000000000000027	0.050000000000000044	0.030000000000000027		0.25	0.0		0.33000000000000007			0.22999999999999998	0.6699999999999999	2.34	0.17999999999999994	0.040000000000000036	0.6000000000000001		0.5	0.1299999999999999	0.1299999999999999	0.08000000000000007	0.0		0.42999999999999994	1.0	0.33000000000000007	0.25	0.1299999999999999		0.07000000000000006	0.19999999999999996	0.0	0.31000000000000005	0.9099999999999999	3.25	0.0	0.0		0.06000000000000005	0.33000000000000007			0.0	0.18999999999999995	0.06000000000000005	0.16999999999999993	0.10000000000000009	0.5	0.75	0.030000000000000027	0.6000000000000001	0.06000000000000005	0.29000000000000004	0.3500000000000001	0.08000000000000007	0.51	0.010000000000000009	0.1299999999999999	0.28	0.10000000000000009	0.41000000000000014		0.09000000000000008	0.0	0.0	0.15999999999999992	0.41000000000000014	0.41000000000000014	0.3500000000000001	0.6099999999999999	0.010000000000000009		0.33000000000000007	0.19999999999999996		0.0	0.16999999999999993	0.19999999999999996	0.0				0.24	0.3599999999999999	0.3999999999999999		0.5	0.33000000000000007	0.5		0.020000000000000018	0.0	0.25		0.33000000000000007	0.08000000000000007												0.0	0.0		0.0		0.33000000000000007	0.29000000000000004		0.0									
P33410_1006.md	0.26	0.28	0.050000000000000044	0.18999999999999995	0.18999999999999995	0.19999999999999996	0.19999999999999996	0.24	0.14000000000000012	0.1499999999999999	0.24	0.14000000000000012	0.14000000000000012	0.1200000000000001	0.18999999999999995	0.18999999999999995	0.26	0.17999999999999994	0.1200000000000001	0.26	0.25	0.15999999999999992	0.020000000000000018	0.0	3.2699999999999996	0.3799999999999999	0.24	0.14000000000000012	0.22999999999999998	0.1100000000000001	1.0300000000000002	0.19999999999999996	0.040000000000000036	0.24	0.010000000000000009	0.030000000000000027	0.44999999999999996	0.27	0.1100000000000001	0.020000000000000018	0.3700000000000001	0.20999999999999996	0.81	0.020000000000000018	0.55	0.9099999999999999	0.3999999999999999	0.17999999999999994	0.43000000000000016	0.3799999999999999	0.1100000000000001	0.1200000000000001	0.14000000000000012	0.33999999999999986	0.020000000000000018	0.040000000000000036	0.15999999999999992	0.16999999999999993	0.77	0.1299999999999999	0.31000000000000005	0.010000000000000009	0.040000000000000036	0.040000000000000036	0.08000000000000007		0.0	0.33000000000000007		0.0		1.0	0.30000000000000004	0.6699999999999999	1.12	0.24	0.1499999999999999		0.0	0.25	0.07000000000000006	0.1299999999999999	0.1499999999999999	0.14000000000000012		0.17999999999999994	0.33000000000000007	0.5	0.25	0.53	0.08000000000000007	0.09000000000000008	1.0	0.29000000000000004	0.08000000000000007	0.6600000000000001	4.75	0.33000000000000007	0.16999999999999993				0.25		0.0	0.0	0.0	0.47	0.1299999999999999	0.71	1.08	0.010000000000000009	1.2000000000000002	0.1299999999999999	0.5	0.31000000000000005	0.07000000000000006	0.69	0.010000000000000009	0.09000000000000008	0.10000000000000009	0.3500000000000001	0.43999999999999995		0.47	0.0	0.010000000000000009	0.17999999999999994	0.3799999999999999	0.53	0.52	0.71		0.1100000000000001	0.33000000000000007				0.16999999999999993		0.0		0.5	0.0	0.06000000000000005	0.17999999999999994	0.10000000000000009		0.0	0.33000000000000007			0.18999999999999995	0.020000000000000018										0.16999999999999993		0.0			0.19999999999999996		0.0		0.0			0.14000000000000012	0.0	0.25								0.33000000000000007	
P33410_1008.md	0.18999999999999995	0.22999999999999998	0.21999999999999997	0.16999999999999993	0.24	0.19999999999999996	0.24	0.14000000000000012	0.1499999999999999	0.1499999999999999	0.21999999999999997	0.15999999999999992	0.1100000000000001	0.050000000000000044	0.16999999999999993	0.17999999999999994	0.20999999999999996	0.14000000000000012	0.20999999999999996	0.20999999999999996	0.18999999999999995	0.15999999999999992	0.1299999999999999	0.0	12.92	0.3900000000000001	0.55	0.08000000000000007	0.1499999999999999	0.1499999999999999	1.3399999999999999	0.1499999999999999	0.32000000000000006	0.010000000000000009	0.0		0.32000000000000006	0.29000000000000004	0.1299999999999999	0.050000000000000044	0.3400000000000001	0.1499999999999999	0.55	0.040000000000000036	0.49	0.72	0.19999999999999996	0.3500000000000001	0.20999999999999996	0.050000000000000044	0.050000000000000044	0.09000000000000008	0.14000000000000012	0.1499999999999999	0.040000000000000036	0.0	0.27	0.31000000000000005	0.6200000000000001	0.26	0.1200000000000001	0.040000000000000036	0.010000000000000009	0.030000000000000027	0.050000000000000044	0.19999999999999996	0.25	0.0	0.040000000000000036	0.0		0.0	0.24	1.0	1.13	0.1100000000000001	0.08000000000000007		0.19999999999999996	0.25	0.020000000000000018	0.06000000000000005	0.08000000000000007	0.14000000000000012	0.19999999999999996	0.19999999999999996	0.6699999999999999	0.16999999999999993	0.25	0.19999999999999996	0.0	0.06000000000000005	0.3999999999999999	0.07000000000000006	0.45999999999999996	0.41000000000000014	4.5	0.33000000000000007	0.16999999999999993		0.06000000000000005					0.25	0.25	0.3599999999999999	0.050000000000000044	0.5700000000000001	1.0499999999999998	0.1200000000000001	0.71	0.07000000000000006	0.3799999999999999	0.53	0.08000000000000007	0.51	0.010000000000000009	0.1200000000000001	0.15999999999999992	0.3500000000000001	0.55	0.0	0.19999999999999996	0.010000000000000009		0.08000000000000007	0.6799999999999999	0.41999999999999993	0.3700000000000001	0.7	0.020000000000000018		0.33000000000000007	0.19999999999999996		0.030000000000000027			0.19999999999999996	0.3999999999999999	0.5		0.1200000000000001	0.17999999999999994	0.10000000000000009	0.6600000000000001	0.16999999999999993	0.33000000000000007	0.75		0.32000000000000006		0.25	0.0		0.33000000000000007								0.0				0.25						0.14000000000000012		0.25									0.33000000000000007
P33410_1009.md	0.22999999999999998	0.18999999999999995	0.22999999999999998	0.22999999999999998	0.19999999999999996	0.18999999999999995	0.22999999999999998	0.17999999999999994	0.15999999999999992	0.19999999999999996	0.19999999999999996	0.17999999999999994	0.1200000000000001	0.08000000000000007	0.15999999999999992	0.1499999999999999	0.17999999999999994	0.18999999999999995	0.17999999999999994	0.18999999999999995	0.17999999999999994	0.14000000000000012	0.1200000000000001	0.0	14.32	0.32000000000000006	0.1499999999999999	0.3900000000000001	0.22999999999999998	0.3400000000000001	1.63	0.10000000000000009	0.26	0.10000000000000009	0.0	0.010000000000000009	0.3999999999999999	0.24	0.09000000000000008	0.1499999999999999	0.6299999999999999	0.14000000000000012	0.15999999999999992	0.06000000000000005	0.48	0.6000000000000001	0.28	0.25	0.14000000000000012	0.09000000000000008	0.06000000000000005	0.14000000000000012	0.1100000000000001	0.18999999999999995	0.030000000000000027	0.010000000000000009	0.30000000000000004	0.51	0.3799999999999999	0.24	0.31000000000000005	0.010000000000000009	0.040000000000000036	0.050000000000000044	0.030000000000000027			0.33000000000000007	0.0	0.0	0.19999999999999996		0.24	1.0	0.75	0.08000000000000007	0.030000000000000027	0.19999999999999996	0.0	0.5	0.09000000000000008	0.040000000000000036	0.08000000000000007			0.22999999999999998	0.33000000000000007	0.0	0.75	0.27	0.020000000000000018	0.07000000000000006	0.0	0.14000000000000012	0.08000000000000007	0.16999999999999993	3.75	0.0			0.0	0.33000000000000007			0.0	0.75	0.06000000000000005	0.28	0.08000000000000007	0.41999999999999993	0.74	0.030000000000000027	0.3500000000000001	0.06000000000000005	0.33000000000000007	0.49	0.15999999999999992	0.73	0.030000000000000027	0.1200000000000001	0.15999999999999992	0.19999999999999996	0.3599999999999999	0.0	0.15999999999999992	0.010000000000000009	0.010000000000000009	0.050000000000000044	0.4099999999999999	0.45999999999999996	0.32000000000000006	0.5800000000000001	0.010000000000000009		0.33000000000000007			0.010000000000000009	0.0	0.3999999999999999	0.0			0.0	0.0	0.0	0.5	0.33000000000000007					0.17999999999999994	0.020000000000000018	0.25	0.1100000000000001	0.33000000000000007	0.16999999999999993																				0.25									
P33410_1010.md	0.22999999999999998	0.24	0.24	0.19999999999999996	0.050000000000000044	0.15999999999999992	0.1100000000000001	0.17999999999999994	0.21999999999999997	0.1299999999999999	0.15999999999999992	0.17999999999999994	0.1299999999999999	0.1200000000000001	0.18999999999999995	0.16999999999999993	0.20999999999999996	0.26	0.26	0.29000000000000004	0.17999999999999994	0.1499999999999999	0.18999999999999995	0.0	5.26	0.25	0.17999999999999994	0.30000000000000004	0.10000000000000009	0.5	2.09	0.1499999999999999	0.25	0.1200000000000001	0.050000000000000044	0.020000000000000018	0.3900000000000001	0.26	0.050000000000000044	0.26	0.6300000000000001	0.1200000000000001	0.42999999999999994	0.030000000000000027	0.52	0.56	0.30000000000000004	0.3900000000000001	0.3599999999999999	0.18999999999999995	0.10000000000000009	0.17999999999999994	0.09000000000000008	0.3400000000000001	0.020000000000000018	0.010000000000000009	0.16999999999999993	0.71	0.6200000000000001	0.14000000000000012	0.15999999999999992	0.010000000000000009	0.050000000000000044	0.15999999999999992	0.07000000000000006			0.33000000000000007				0.6699999999999999	0.22999999999999998	0.33000000000000007	1.12	0.16999999999999993	0.050000000000000044	0.19999999999999996	0.19999999999999996	0.75	0.09000000000000008	0.1200000000000001	0.3799999999999999	0.14000000000000012		0.15999999999999992	1.0	0.5	0.25	0.1299999999999999	0.06000000000000005	0.1200000000000001	0.19999999999999996	0.28	0.08000000000000007	0.33000000000000007	3.75			0.1200000000000001	0.06000000000000005					0.18999999999999995	0.1200000000000001	0.33999999999999986	0.14000000000000012	0.76	0.8799999999999999	0.050000000000000044	0.31999999999999984	0.050000000000000044	0.16999999999999993	0.31000000000000005	0.08000000000000007	0.48	0.050000000000000044	0.16999999999999993	0.21999999999999997	0.10000000000000009	0.45999999999999996		0.1399999999999999	0.0	0.010000000000000009	0.22999999999999998	0.45999999999999996	0.5699999999999998	0.27	0.54	0.010000000000000009	0.1100000000000001											0.29000000000000004	0.55	0.0		0.16999999999999993				0.16999999999999993	0.020000000000000018	0.25	0.1100000000000001						0.0																									
P33410_1011.md	0.22999999999999998	0.28	0.30000000000000004	0.14000000000000012	0.1299999999999999	0.18999999999999995	0.16999999999999993	0.17999999999999994	0.15999999999999992	0.1200000000000001	0.16999999999999993	0.16999999999999993	0.08000000000000007	0.08000000000000007	0.1499999999999999	0.1299999999999999	0.22999999999999998	0.25	0.24	0.25	0.20999999999999996	0.18999999999999995	0.08000000000000007	0.0	2.5	0.3700000000000001	0.41000000000000014	0.3900000000000001	0.30000000000000004	0.47	1.38	0.16999999999999993	0.22999999999999998	0.3900000000000001	0.0	0.010000000000000009	0.6000000000000001	0.27	0.16999999999999993	0.15999999999999992	0.73	0.17999999999999994	0.95	0.020000000000000018	0.6799999999999999	0.79	0.53	0.3999999999999999	0.81	0.3599999999999999	0.15999999999999992	0.08000000000000007	0.1299999999999999	0.29000000000000004	0.050000000000000044	0.010000000000000009	0.28	0.29000000000000004	0.5800000000000001	0.21999999999999997	0.25	0.030000000000000027	0.040000000000000036	0.09000000000000008	0.030000000000000027		0.0		0.040000000000000036	0.33000000000000007		1.6600000000000001	0.20999999999999996	1.67	1.38	0.15999999999999992	0.1200000000000001	0.19999999999999996	0.19999999999999996	0.25	0.07000000000000006	0.24	0.08000000000000007	0.29000000000000004		0.21999999999999997	1.6600000000000001		1.25	0.3400000000000001	0.050000000000000044	0.21999999999999997	0.5	0.14000000000000012	0.08000000000000007	0.5800000000000001	4.5	0.33000000000000007	0.33000000000000007		0.06000000000000005	0.0				0.0		0.1499999999999999	0.1100000000000001	0.6799999999999999	1.21	0.010000000000000009	0.8900000000000001	0.08000000000000007	0.20999999999999996	0.43999999999999995	0.1200000000000001	0.73	0.020000000000000018	0.07000000000000006	0.5800000000000001	0.18999999999999995	0.71		0.27	0.0	0.030000000000000027	0.32000000000000006	0.76	0.6699999999999999	0.47	0.6800000000000002	0.0	0.1100000000000001				0.0	0.0	0.19999999999999996	1.0		0.5	0.0	0.06000000000000005	0.17999999999999994	0.0		0.16999999999999993	0.33000000000000007			0.050000000000000044				0.0	0.0		0.0				0.0	0.33000000000000007	1.0	0.0	0.5	0.0																		
