chr	end	cnv	bin_number
chr1	1839076	3.91442599079467	1
chr1	2958871	1.92459136689326	2
chr1	3968334	0.510521814048975	3
chr1	4977069	1.28399242365509	4
chr1	5986690	1.53264685872496	5
chr1	6993867	1.63620916589901	6
chr1	8005140	2.30705046938446	7
chr1	9012529	1.12562992820269	8
chr1	10018310	2.07884741080989	9
chr1	11022907	2.02443923514407	10
chr1	12031751	2.3778944598045	11
chr1	13454037	2.87859742294364	12
chr1	14464475	2.35499296525242	13
chr1	15470136	2.53025011609322	14
chr1	16478908	1.88537691222284	15
chr1	17722258	4.05935057450318	16
chr1	18727466	2.87067516444867	17
chr1	19733559	2.44767543414195	18
chr1	20738771	2.48840474455928	19
chr1	21762520	1.89687011806251	20
chr1	22778007	2.57842950151341	21
chr1	23784429	2.03998080593902	22
chr1	24795081	2.16600241398364	23
chr1	25858108	2.39669489783333	24
chr1	26869542	1.90216398640582	25
chr1	27879096	1.98478705769373	26
chr1	28885824	1.77343450170135	27
chr1	29895221	2.32317659398294	28
chr1	30911069	2.65595067234581	29
chr1	31918334	2.02258625457856	30
chr1	32924007	1.78422720155182	31
chr1	33938288	2.64830865197725	32
chr1	34959742	2.45234437176967	33
chr1	35966315	1.80181936751741	34
chr1	36972114	2.45716758561087	35
chr1	37982596	2.31958896427278	36
chr1	38990683	2.57281907266311	37
chr1	40021951	2.02386740403681	38
chr1	41033071	1.83828528098856	39
chr1	42045426	2.29884400542253	40
chr1	43057563	2.03687893545647	41
chr1	44066943	2.064100702935	42
chr1	45073672	2.17265849388875	43
chr1	46092661	1.96555907524883	44
chr1	47146082	2.17643111001024	45
chr1	48162375	2.56393086675884	46
chr1	49181108	2.48363487584473	47
chr1	50208046	2.51767857007031	48
chr1	51218523	1.70441958702511	49
chr1	52230965	1.82933336462971	50
chr1	53237350	1.42864359210453	51
chr1	54244173	2.03180911113136	52
chr1	55253283	2.3193652522689	53
chr1	56263937	2.51811039467153	54
chr1	57273774	2.40811850401597	55
chr1	58291222	2.49847556499315	56
chr1	59307727	2.47944211031227	57
chr1	60328293	2.44843910521776	58
chr1	61346762	2.4932000179101	59
chr1	62354060	1.97081439473163	60
chr1	63365575	2.17739665278009	61
chr1	64381079	2.15886351132214	62
chr1	65390213	2.06600105753101	63
chr1	66416869	1.96328579125502	64
chr1	67436551	1.37701107015761	65
chr1	68444868	1.24516538081635	66
chr1	69471153	1.44287035748151	67
chr1	70488280	1.05491456644727	68
chr1	71505350	1.18730134051969	69
chr1	72523082	1.37371000068472	70
chr1	73537931	1.50352262040775	71
chr1	74551382	1.04430525598554	72
chr1	75575202	1.28299781765218	73
chr1	76590702	1.28332484781475	74
chr1	77605878	2.23190334784604	75
chr1	78622443	2.17128145324208	76
chr1	79639848	2.35095597133912	77
chr1	80657133	1.668877488172	78
chr1	81675284	1.58174025691805	79
chr1	82693588	2.03557403330964	80
chr1	83827457	1.56491493090561	81
chr1	84843048	1.00658262860577	82
chr1	85875598	1.86706034074904	83
chr1	86905673	2.02621653023835	84
chr1	87911798	2.45810711957447	85
chr1	88921465	1.77995424377367	86
chr1	89945245	1.22445871454533	87
chr1	90960629	1.16818789631881	88
chr1	91981997	1.59025960208188	89
chr1	92995614	1.19007628603681	90
chr1	94012712	0.982204490684972	91
chr1	95022506	1.30385599198267	92
chr1	96031500	1.15616545750248	93
chr1	97056275	1.19737890348621	94
chr1	98070147	1.09201548393493	95
chr1	99083209	1.18022021209698	96
chr1	100097534	0.972104107682302	97
chr1	101109058	0.0234927657426765	98
chr1	102117322	0.0139828504719581	99
chr1	103137131	0.0433221932101003	100
chr1	104305959	0.400272949329392	101
chr1	105331695	0.782703750970982	102
chr1	106346524	0.213848466274893	103
chr1	107353485	0.569037727072679	104
chr1	108552876	0.900148818887413	105
chr1	109562385	0.875544865374594	106
chr1	110583795	1.28303851539617	107
chr1	111598079	1.10521360751882	108
chr1	112616605	1.14345487221111	109
chr1	113643453	1.01882789595915	110
chr1	114651620	1.20910549371196	111
chr1	115667503	1.13665283883488	112
chr1	116687865	1.08091283128616	113
chr1	117702785	1.09563889030098	114
chr1	118724297	1.25092321210269	115
chr1	119749337	1.23690236308028	116
chr1	122862707	2.67408244717835	117
chr1	146593304	13.3302094741123	118
chr1	147915434	4.60055678408035	119
chr1	150392787	7.23558278084928	120
chr1	151403423	2.51526757024565	121
chr1	152430585	2.92734107404266	122
chr1	153458914	3.5024624779195	123
chr1	154469186	2.78809464781948	124
chr1	155484805	2.98030477762027	125
chr1	156518590	2.45022366008694	126
chr1	157533663	3.45238911020067	127
chr1	158553023	3.24834556829462	128
chr1	159584285	3.47322031964361	129
chr1	160599819	3.18384069984128	130
chr1	161722197	2.9160378379233	131
chr1	162734855	2.8072012750959	132
chr1	163765975	3.51376118162093	133
chr1	164784705	3.74209933536913	134
chr1	165796566	3.10017004894782	135
chr1	166823524	2.55533155129869	136
chr1	167831247	2.94513837814826	137
chr1	168850525	3.27996997061299	138
chr1	169865834	3.59349285746683	139
chr1	170886872	3.44518022220985	140
chr1	171904637	3.23249963839075	141
chr1	172923266	3.16072732131475	142
chr1	173942386	2.27429732614059	143
chr1	174985633	1.98514814214302	144
chr1	175996207	3.13020572379917	145
chr1	177020273	3.49625885327332	146
chr1	178041409	3.87069164892763	147
chr1	179062169	3.12519404343361	148
chr1	180074629	2.81053605775686	149
chr1	181096674	3.04075199936314	150
chr1	182108219	3.61397687739706	151
chr1	183119509	3.29137870306408	152
chr1	184134340	3.2230859769994	153
chr1	185153851	3.84236294079761	154
chr1	186180637	3.57099843526264	155
chr1	187195972	2.93699834155352	156
chr1	188222594	2.99243641916179	157
chr1	189238031	3.22902101813383	158
chr1	190253403	3.15033304392562	159
chr1	191268896	3.38592639431256	160
chr1	192279463	3.37472347282735	161
chr1	193295297	3.21206837033905	162
chr1	194317514	3.30414860489404	163
chr1	195328504	2.91098729141335	164
chr1	196349403	3.68742943154666	165
chr1	197402721	3.29614702428589	166
chr1	198428719	3.25698284573875	167
chr1	199438969	3.12860190892585	168
chr1	200454452	2.99293873108997	169
chr1	201468261	3.2175198165655	170
chr1	202484739	3.63161378469193	171
chr1	203499519	3.44841924057306	172
chr1	204508756	3.21626430750719	173
chr1	205517823	3.6745229846204	174
chr1	206733475	3.7440582223016	175
chr1	207792542	3.42956747075538	176
chr1	208802579	3.98763944792374	177
chr1	209814345	3.42799768055113	178
chr1	210831476	3.64854226187179	179
chr1	211846265	3.11031752655444	180
chr1	212861959	3.16783451798208	181
chr1	213878997	3.38460916601759	182
chr1	214888894	3.11630541273184	183
chr1	215900337	3.45246911131742	184
chr1	216914838	2.70175666451487	185
chr1	217929484	2.69158536921408	186
chr1	218945370	2.19377550595519	187
chr1	219979031	1.65609996038608	188
chr1	220989824	2.45613628525031	189
chr1	222001811	3.51042880115271	190
chr1	223049301	3.48880140042634	191
chr1	224206650	3.37765762699348	192
chr1	225222958	3.0848504767953	193
chr1	226233647	2.71761763291369	194
chr1	227245467	2.98883975744839	195
chr1	228276367	3.34123633213601	196
chr1	229380083	3.67014306343069	197
chr1	230389890	2.89960808553111	198
chr1	231398280	3.47100852179682	199
chr1	232412545	3.69788033275153	200
chr1	233421713	3.15783603513962	201
chr1	234432407	3.2114006594351	202
chr1	235468800	2.83532391741005	203
chr1	236478189	3.18592602960342	204
chr1	237499628	3.20390911582231	205
chr1	238512329	3.29958770088381	206
chr1	239520682	2.23406228925553	207
chr1	240536296	2.16359964576168	208
chr1	241545361	3.1144187719779	209
chr1	242581670	3.48889205875179	210
chr1	243705113	2.98027184185936	211
chr1	244719154	2.41665169200123	212
chr1	245728305	3.05894733257132	213
chr1	246752273	3.82676180832545	214
chr1	247784523	3.11567678270988	215
chr1	248956422	3.48107529720882	216
chr2	1034293	1.92529646623899	217
chr2	2064836	2.41116959891879	218
chr2	3081106	2.00923440903732	219
chr2	4103802	2.17378507574197	220
chr2	5130823	1.3418088028834	221
chr2	6154526	2.07602947284614	222
chr2	7165374	2.29738974953994	223
chr2	8180374	2.27551960776345	224
chr2	9195153	2.23324634007225	225
chr2	10207259	1.7889262001437	226
chr2	11224953	0.781568319031137	227
chr2	12238676	0.239631887719074	228
chr2	13256768	0.0788002787393724	229
chr2	14282425	1.72481349674975	230
chr2	15305276	2.35034111115051	231
chr2	16325630	1.43551211445801	232
chr2	17345135	1.23093207534733	233
chr2	18364468	2.15843632631739	234
chr2	19384355	2.14231963314295	235
chr2	20397230	2.27430057046297	236
chr2	21415848	2.36693892206067	237
chr2	22434233	1.8668412961869	238
chr2	23454784	2.28595399203848	239
chr2	24471068	1.75424349484386	240
chr2	25482662	2.07670726019232	241
chr2	26495730	1.72929103078409	242
chr2	27507879	2.2436281090928	243
chr2	28523954	2.05146933000507	244
chr2	29536958	2.20321633938866	245
chr2	30550670	2.34589076455561	246
chr2	31577454	2.40083004623428	247
chr2	32593928	1.74420910734431	248
chr2	33613355	40.6386309581587	249
chr2	34630836	2.14450512073407	250
chr2	35651405	2.18477893416482	251
chr2	36675480	2.26863297197577	252
chr2	37688907	2.01730014858966	253
chr2	38707117	1.21030779603796	254
chr2	39719880	1.76109642439776	255
chr2	40739460	2.5297092329011	256
chr2	41759689	2.39548199068495	257
chr2	42772090	2.02671609750788	258
chr2	43795661	1.63392023862235	259
chr2	44810565	1.57881212675721	260
chr2	45831705	2.24029657299531	261
chr2	46843730	2.32069988912967	262
chr2	47855165	1.8512092673726	263
chr2	48872848	1.43155688984424	264
chr2	49893781	2.23907086115601	265
chr2	50903827	2.24709000021416	266
chr2	51922730	1.86945744367655	267
chr2	52939961	1.53248570770462	268
chr2	53959141	2.289271326438	269
chr2	54970249	1.9893901317701	270
chr2	55991646	0.461974107925914	271
chr2	57014208	0.0338275561690846	272
chr2	58042739	0.0428748155761237	273
chr2	59063490	1.10706273223315	274
chr2	60083289	1.31369554457662	275
chr2	61107831	2.02228083498018	276
chr2	62118699	1.73410362462341	277
chr2	63141366	2.00148506814577	278
chr2	64157225	2.13696331840759	279
chr2	65170433	2.24546920883322	280
chr2	66192936	2.13402241592973	281
chr2	67219614	2.4524226781662	282
chr2	68235929	2.57463808034565	283
chr2	69254359	2.26335348230779	284
chr2	70265013	1.9005736585943	285
chr2	71286005	2.26441993485856	286
chr2	72313562	2.23068511737469	287
chr2	73334215	1.95144924808675	288
chr2	74381902	2.25198337843874	289
chr2	75400135	2.19239444229312	290
chr2	76418899	2.40852904442487	291
chr2	77452396	2.38685444501349	292
chr2	78490950	2.2055752114388	293
chr2	79514712	2.36204204585074	294
chr2	80526764	2.62593150415443	295
chr2	81541624	2.14467909728676	296
chr2	82556157	2.21758628597764	297
chr2	83577101	2.00570596345872	298
chr2	84602465	2.40539456733973	299
chr2	85619115	2.13491509918778	300
chr2	86631954	2.05380415638002	301
chr2	88520891	2.3796111619099	302
chr2	94939612	6.56655014879731	303
chr2	96217029	2.5794610149858	304
chr2	97590232	2.62270038614653	305
chr2	98625371	2.02617539935951	306
chr2	99639910	2.02193987950485	307
chr2	100666125	2.33603455687744	308
chr2	101674909	1.18342757693185	309
chr2	102690603	1.47770884576712	310
chr2	103703101	2.26769042757011	311
chr2	104711477	2.31103385508717	312
chr2	105724247	1.25221637639289	313
chr2	106830694	1.20269631654719	314
chr2	107892220	0.805640400675115	315
chr2	108964566	0.421971956778097	316
chr2	110708288	0.666155461692339	317
chr2	112052225	1.65534327152718	318
chr2	113142067	1.79312963323642	319
chr2	114319565	1.9867952867268	320
chr2	115333983	1.97725291484977	321
chr2	116355929	2.38409793089961	322
chr2	117371896	2.30511278679235	323
chr2	118411680	2.52772166198832	324
chr2	119428315	2.45417768511546	325
chr2	120440920	1.83807494716014	326
chr2	121448609	1.12683806418363	327
chr2	122473089	1.40008387358776	328
chr2	123485009	2.16977165281763	329
chr2	124511592	2.38409829609272	330
chr2	125529035	2.50630440520277	331
chr2	126548069	1.18595151418139	332
chr2	127557051	1.81176195993965	333
chr2	128570371	1.91115116468756	334
chr2	129592809	1.42276418328943	335
chr2	130977530	2.39382666777617	336
chr2	132202844	2.24688117746532	337
chr2	133239385	2.55970184243981	338
chr2	134269776	2.42717196260043	339
chr2	135294492	1.87575208446192	340
chr2	136307945	1.33682054420036	341
chr2	137323339	1.92192095324223	342
chr2	138341124	1.9323177267127	343
chr2	139353664	1.27447381278123	344
chr2	140368475	1.22652333081748	345
chr2	141378700	1.00201782596037	346
chr2	142389267	1.16314898196979	347
chr2	143410008	2.4007946517196	348
chr2	144429638	2.64831470444079	349
chr2	145440287	2.28099328491094	350
chr2	146452522	2.26902038398679	351
chr2	147462425	2.3392102995004	352
chr2	148493100	2.0881087387905	353
chr2	149504504	1.57136130244918	354
chr2	150528887	2.44967840138081	355
chr2	151535998	2.18098208220628	356
chr2	152577807	2.25881420793966	357
chr2	153601652	1.90674784041285	358
chr2	154620140	2.27889578459847	359
chr2	155640092	2.28725943968136	360
chr2	156660366	2.27458854045496	361
chr2	157692903	2.51665582503314	362
chr2	158713598	2.33281443098449	363
chr2	159729290	1.91258479501196	364
chr2	160743862	2.3469246346473	365
chr2	161774152	2.39239805515732	366
chr2	162787436	2.11798764820829	367
chr2	163796293	2.20090869196965	368
chr2	164811063	2.26449550429088	369
chr2	165834331	2.32241273709466	370
chr2	166850120	2.27007229492845	371
chr2	167882416	2.51039361708291	372
chr2	168892231	2.26929260604125	373
chr2	169914208	2.0618058020465	374
chr2	170925168	2.12627669485656	375
chr2	171936469	1.98893076996865	376
chr2	172953650	1.41077437570087	377
chr2	173971661	2.32698692261363	378
chr2	174989704	1.17066221707449	379
chr2	176021472	1.26110459791674	380
chr2	177032523	1.99912676992119	381
chr2	178053760	1.93019978389214	382
chr2	179077838	2.12930322123578	383
chr2	180094448	1.2405227165404	384
chr2	181112551	1.41713273787121	385
chr2	182129052	2.17894868587233	386
chr2	183149728	2.03930615382916	387
chr2	184168614	2.51229486756823	388
chr2	185184335	2.28165887479591	389
chr2	186211005	2.31987448375401	390
chr2	187226599	1.88473696229451	391
chr2	188243998	1.0640597794447	392
chr2	189258529	1.24456819436698	393
chr2	190270989	1.60158855553933	394
chr2	191281528	1.07595117118023	395
chr2	192302274	1.07113487769699	396
chr2	193324828	1.1114778909613	397
chr2	194342541	1.41530201964467	398
chr2	195369922	2.45552171947629	399
chr2	196385776	2.02262660791906	400
chr2	197406950	2.2029040192277	401
chr2	198433729	2.30788058884508	402
chr2	199448086	2.57572766714061	403
chr2	200456865	2.26137274737113	404
chr2	201476705	2.12509041691479	405
chr2	202488877	1.55629542008456	406
chr2	203501741	1.80883863260065	407
chr2	204510698	2.10355513990299	408
chr2	205531101	2.15827480374178	409
chr2	206543430	2.18773150857864	410
chr2	207561652	2.16197199067961	411
chr2	208572290	1.97395387590255	412
chr2	209609424	2.45207830114402	413
chr2	210623262	2.33923827048691	414
chr2	211641593	2.54336064309584	415
chr2	212655442	2.33355310672589	416
chr2	213677259	2.39252447648931	417
chr2	214694599	2.19650937326643	418
chr2	215707953	2.14944707794169	419
chr2	216722328	2.30442034195533	420
chr2	217731675	2.63595213128667	421
chr2	218740252	2.10845038899564	422
chr2	219748588	1.65665751441809	423
chr2	220763494	1.12383630282804	424
chr2	221771678	1.06085848110258	425
chr2	222790303	1.85917274314603	426
chr2	223803136	2.2154104296896	427
chr2	224812971	2.33865219249041	428
chr2	225827706	2.55204059957645	429
chr2	226840424	2.26463070504053	430
chr2	227852934	2.10990971552439	431
chr2	228886183	1.75574174169991	432
chr2	229894881	1.09661939357048	433
chr2	230910588	1.08836551306189	434
chr2	231934018	0.922992699517903	435
chr2	232962814	1.17386681505367	436
chr2	233979894	1.12579377466018	437
chr2	234999148	1.1124299048449	438
chr2	236007780	1.38551388956078	439
chr2	237024532	1.31188100706516	440
chr2	238037824	1.39912221712852	441
chr2	239050039	1.23217745432014	442
chr2	240064164	1.72856545718935	443
chr2	241099380	0.948699191393387	444
chr2	242193529	1.24855099717806	445
chr3	1037998	1.25120552021614	446
chr3	2052784	1.38990631352564	447
chr3	3059460	1.22458644281362	448
chr3	4080491	2.2962712874318	449
chr3	5096643	2.34649108481561	450
chr3	6105880	1.83578547130101	451
chr3	7125669	1.1825697852058	452
chr3	8130057	1.25316397294371	453
