Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY
P33410_1001	4.37312	3.4745500000000007	4.7905	3.6449499999999997	4.42179	2.5792	4.342129999999999	3.75511	3.8175300000000005	3.685549999999999	4.44854	3.7588599999999994	2.53227	2.30992	4.35052	3.377090000000001	3.84467	4.28276	3.9689999999999994	3.6919699999999995	4.701309999999999	3.47276	2.57796	0.037169999999999925
P33410_1002	4.63094	5.08803	4.76473	3.1380099999999995	4.5427	3.27407	5.69884	3.4729099999999997	2.76325	3.0729800000000003	2.79271	2.70443	1.95717	2.4551000000000003	4.996569999999999	2.40292	3.52876	3.2168	3.6214399999999998	4.47612	3.34528	2.9565400000000004	3.5131500000000004	0.03834000000000004
P33410_1003	3.9596600000000004	5.506650000000001	5.01743	5.4357999999999995	3.0907400000000003	3.6925299999999996	4.603140000000001	1.8520599999999998	4.808909999999999	3.54293	2.06382	3.3967399999999994	1.07044	2.88866	3.1215200000000003	3.9802400000000002	4.3057799999999995	3.2502699999999995	4.461600000000001	1.57272	4.20312	2.5569499999999996	3.1432599999999997	0.02743999999999991
P33410_1004	4.1898	3.9012400000000005	4.13222	3.6598100000000002	4.23469	2.8189800000000003	5.52095	2.8876	3.3598	4.210529999999999	3.5643000000000002	2.92934	3.20327	2.1360499999999996	4.153880000000001	3.3705100000000003	3.5723600000000006	4.7191399999999994	4.18315	4.7726299999999995	4.04646	3.544039999999999	2.54279	0.03865999999999992
P33410_1005	3.26884	4.264060000000001	4.17206	2.856	4.83545	4.24337	3.8901400000000006	4.439959999999999	3.9128	4.36409	4.986370000000001	2.6903300000000003	3.1004999999999994	2.14096	1.54332	3.5522	3.18415	4.90161	4.542730000000001	3.570359999999999	4.79467	3.63528	2.7971	0.031120000000000037
P33410_1006	5.3639399999999995	5.426500000000001	1.0905	3.73599	3.80678	3.8572299999999995	3.9773300000000003	4.62272	3.1826500000000006	2.9531	4.8224800000000005	2.7558	3.39991	2.9745100000000004	4.51376	3.9835700000000003	5.1129999999999995	3.7482799999999994	2.5602	5.21479	6.24712	4.09738	0.34647000000000006	0.03323000000000009
P33410_1008	3.8745200000000004	4.512089999999999	4.432269999999999	3.4668900000000002	4.8806	3.8533999999999997	4.78595	2.80611	3.42567	2.8769299999999998	4.45889	3.33122	2.48658	1.3057499999999997	4.00668	3.58314	4.32827	2.8338699999999997	4.34015	4.26916	4.4835899999999995	4.194100000000001	2.4528499999999998	0.028699999999999948
P33410_1009	4.68855	3.76203	4.444920000000001	4.4019200000000005	3.9735199999999997	3.66624	4.520009999999999	3.5734399999999997	3.57486	3.8348999999999993	4.07181	3.6762700000000006	2.51486	1.9531999999999998	3.72891	3.0419400000000003	3.6146900000000004	3.8657900000000005	3.7918900000000004	3.9816599999999998	4.4606	3.4259500000000003	2.2577	0.028380000000000072
P33410_1010	5.0061100000000005	4.68711	4.9216	3.9219799999999996	0.9409399999999999	3.15907	1.99756	3.55147	5.033430000000001	2.3694100000000002	3.3441	3.6318600000000005	2.97798	2.8631200000000003	4.23607	3.63666	4.22983	5.28322	4.99688	5.921270000000001	4.35584	4.1691	3.6517	0.03381999999999996
P33410_1011	4.61219	5.298850000000001	5.99287	2.78508	2.59296	3.7775099999999995	3.3900000000000006	3.71124	3.5409900000000007	2.35161	3.4136800000000003	3.4714799999999997	1.77521	1.7153299999999998	3.6009600000000006	2.6349699999999996	4.563439999999999	5.27691	4.975779999999999	5.076440000000001	4.81792	4.73097	1.5070999999999999	0.03410000000000002
